"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true",,"Sun Mar 26 00:57:32 +0000 2017","News junky, ex police officer, retired union carpenter, liberal",,,,,,,,,,,,,,,,"0","8","7","32","true","845801860577607680","false","false","false","The Villages, FL","0","Dale Gibson",,"false","https://pbs.twimg.com/profile_images/847469610978770944/XmH-Az2e_normal.jpg","","865","https://twitter.com/DaleGib26138861","user","https://x.com/DaleGib26138861","DaleGib26138861",,"@CBSNews Guess what they're burning. Anything pertaining to Trump and his business aspirations. Election meddling, secret meetings, etc.","Sat Sep 02 23:52:14 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/151274219/1488961635","Thu Jun 03 01:26:07 +0000 2010","Keeping my eyes on the prize.

RTs & faves do not mean I've adopted their entire philosophy or endorsed every decision they've made.

I block boring people.",,,,,,,,,,,,,,,,"0","941837","5746","3656","true","151274219","false","false","false","Ashland, Virginia","1849","TaritaC.bsky.social",,"false","https://pbs.twimg.com/profile_images/839931026784686080/AnttZalF_normal.jpg","","500814","https://twitter.com/TaritaC","user","https://x.com/TaritaC","TaritaC",,"@richleowolf @hickeyeng @FSIStanford @McFaul They did it in response to Russian meddling in our election. RUSSIA made the first move.","Sat Sep 02 23:27:00 +0000 2017"
,,,,,,"false","true",,"Sat Nov 13 21:45:49 +0000 2010","Professor of criminology at Tilburg University. Apart from professional interests I take an interest in history and old arts or antique. I have no car!",,,,,,,,,,,"cross-border-crime.net","http://www.cross-border-crime.net","0","22","http://t.co/KKZO7GHxok","0","10024","374","795","true","215415717","false","false","false","Den Haag","65","Petrus C. van Duyne",,"false","https://pbs.twimg.com/profile_images/1187127379/petrus_portret_normal","","15382","https://twitter.com/PCvanDuyne","user","https://x.com/PCvanDuyne","PCvanDuyne",,"Another allegation by Trump refuted. not refuted:
* business Trump interests in Moscow
* Russian meddling in US election
* serious nepotism","Sat Sep 02 23:05:16 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/39889387/1547882903","Thu May 14 01:07:23 +0000 2009","#Geopolitics as living human history, one tweet at a time.",,,,,,,,,,,,,,,,"0","75501","9667","5685","true","39889387","false","false","false","","13177","2kdei 🌎","803102649541271552","false","https://pbs.twimg.com/profile_images/1369265702880698373/dn968R1x_normal.jpg","","125507","https://twitter.com/2kdei","user","https://x.com/2kdei","2kdei",,"Germany's New Military Cyber Command, Ready for Russian Election Meddling, Staffed 13,500  Experts Strong.

https://t.co/FE3GqvqQ8f","Sat Sep 02 21:42:41 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1941289068/1522515658","Sun Oct 06 15:45:42 +0000 2013","Choreographer, writer, dancer, teacher, teacher-trainer, gardener, naturopath. Here for repairing the world, art, dance.   https://t.co/qcu4feUX5v","stephanieskura.com","http://stephanieskura.com","123","146","https://t.co/qcu4feUX5v",,,,,,,,,,,"0","31652","453","1425","false","1941289068","false","false","false","Auburn, WA, US","162","Stephanie Skura",,"false","https://pbs.twimg.com/profile_images/1027276551073685504/pDJdAKYt_normal.jpg","","3576","https://twitter.com/SkuraStephanie","user","https://x.com/SkuraStephanie","SkuraStephanie",,"@tribelaw OMG! Is this a possibility? If both P &amp; VP are complicit in Russia election meddling? Great news if so.","Sat Sep 02 21:04:53 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/868609022143942658/1495928278","Sat May 27 23:25:03 +0000 2017","",,,,,,,,,,,,,,,,"0","335","3","107","false","868609022143942658","false","false","false","","8","Eric Dickerson",,"false","https://pbs.twimg.com/profile_images/868612099479666688/ZahHPAnc_normal.jpg","","1305","https://twitter.com/elin_dickerson","user","https://x.com/elin_dickerson","elin_dickerson",,"@LouDobbs @JudicialWatch Old news! Current POTUS is shady and we need to get to bottom of election meddling from Russia. I'm Pro USA anti Putin","Sat Sep 02 21:02:26 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/816816427772575744/1483658988","Thu Jan 05 01:19:46 +0000 2017","Hard Working.. 
Loves Family.. 
Enjoy each day have fun with life.
Don't Judge.
I try to live a Good Karma life..
U.S. Navy
#Resist",,,,,,,,,,,,,,,,"0","4964","521","808","true","816816427772575744","false","false","false","Dundalk, MD","163","Jim Mills",,"false","https://pbs.twimg.com/profile_images/817150452420804608/krBHUiOO_normal.jpg","","3001","https://twitter.com/OldSkoolMills","user","https://x.com/OldSkoolMills","OldSkoolMills",,"@RudolfoCampos @RogerJStoneJr @realDonaldTrump Take their word on what was said in that meeting. And if you think an Foreign Power meddling in our Election is ok maybe you should be fired","Sat Sep 02 20:39:58 +0000 2017"
,,,,,,"false","false",,"Tue Feb 02 21:18:50 +0000 2016","Trustworthy Elections for All",,,,,,,,,,,"freeandfair.us","http://freeandfair.us/","0","23","https://t.co/RUd88lz3kb","0","73","347","80","false","4850841078","false","false","false","Portland, OR","0","Free & Fair",,"false","https://pbs.twimg.com/profile_images/707260801732599809/KGa5dEDh_normal.jpg","","151","https://twitter.com/free_and_fair","user","https://x.com/free_and_fair","free_and_fair",,"We will never know the extent of election cyber-meddling without  proper digital forensic investigations. #NYTimes https://t.co/GwKbOEs6PB","Sat Sep 02 20:17:23 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/981867829/1572190297","Sat Dec 01 05:04:30 +0000 2012","Middle class, but in it together #centrist #moderate #independent #aspergers dad #transportation professional #Spokane 'Washington State' not DC. love to cook!",,,,,,,,,,,,,,,,"0","4087","1661","2267","true","981867829","false","false","false","Washington State WA05 #Spokane","561","Middle Class Moderate","676223269574348800","false","https://pbs.twimg.com/profile_images/1322917558886887424/6EE8wRK7_normal.jpg","","61442","https://twitter.com/midclassmoderat","user","https://x.com/midclassmoderat","midclassmoderat",,"Far left/right achievements 16-17

Ok w/Russian election meddling
Help Trump win
Alienating voters
Vilified who spoke against
♡anftifa♡Nazis https://t.co/RFIEk3AA3M","Sat Sep 02 19:54:36 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/238696316/1731116202","Sat Jan 15 20:22:51 +0000 2011","30 | Proud EU citizen | Boeing #777X & Airbus #A350XWB Lover | RPs not endorsements; Views my own | FGO, AL, RR3 & HSR player | F1: #LH44 & #CL16",,,,,,,,,,,"o530carrispt.substack.com","https://o530carrispt.substack.com/","0","23","https://t.co/EB9JGy9N3H","0","190505","1760","1550","true","238696316","false","false","false","Global (Lisbon, PT)","1065","O530 Carris PT 🌍 🇭🇰🇹🇼🇺🇸🇺🇦🇪🇺🇵🇹 ✈️","1594106969295814657","false","https://pbs.twimg.com/profile_images/1862490750912454656/yapYs2dw_normal.jpg","","128216","https://twitter.com/TheO530CarrisPT","user","https://x.com/TheO530CarrisPT","TheO530CarrisPT",,"Yes. Twitter trolls &amp; bots are undermining the environment on this social network, since it enabled Russia in the meddling of the election. https://t.co/K5gCh0LmaQ","Sat Sep 02 18:51:18 +0000 2017"
