"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","media/1","media/2","media/3","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","BARRON TRUMP PRAISED! (Gateway Pundit) - Former Democrat megadonor John Morgan said Barron Trump is ""smarter than everyone"" on Kamala Harris' failed campaign, crediting his podcast strategy advice for President Trump.

""Barron Trump, who looks like a runway model, was telling his","Fri Nov 29 14:59:20 +0000 2024","217","7643","52","7","0","4",,,,,,"false","1862511670062354521","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","CHRISTIANS SWAY ELECTION! (Gateway Pundit) - A report by the Cultural Research Center revealed that Christian voters were decisive in President-elect Donald Trump’s 2024 victory, earning him 56% of the Christian vote.

""Christians constituted 72 percent of the overall","Fri Nov 29 13:50:56 +0000 2024","105","4772","29","9","3","1",,,,,,"false","1862494457515405684","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","Joe Biden abandoned the people of WNC to keep them from voting for Trump.  Instead they voted in record numbers!","Fri Nov 29 12:17:32 +0000 2024","283","5899","100","8","2","1",,,,,"1862378314557501477","false","1862470950526087335","false","true",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","The people who are pessimistic about the Trump admin now are the same people who were saying we couldn't ""beat the cheat"" a month ago.  Face it, some people are just negative by nature.","Fri Nov 29 11:54:33 +0000 2024","63","1915","5","7","0","0",,,,,,"false","1862465167348338742","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","ABOUT CONGRESS! - Donald Trump doesn't need 60 votes to pass ANYTHING important during this term.  Tax reform requires only 51 votes like last time.  Everything else can be done by executive order and just enforcing the laws we already have.

Of course there is the budget and https://t.co/uBybLZ9mPa","Fri Nov 29 11:23:33 +0000 2024","184","9147","70","14","5","4","https://pbs.twimg.com/media/GdjG3-VXgAA45n8.png",,,,,"false","1862457364550402392","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","Think of all the headwinds Trump does NOT face this time he did in 2016:

1. Russiagate investigation.
2. RINO's in his administration.
3. McConnell and Ryan leading Congress.
4. Lack of experience in government.

This time he has a loyal entourage and Elon.","Fri Nov 29 11:19:08 +0000 2024","124","3105","14","23","1","1",,,,,,"false","1862456253496094935","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","Walking into your liberal relatives house after they laughed at you for supporting Trump! https://t.co/TOSubPXTyp","Thu Nov 28 22:08:14 +0000 2024","205","5474","26","10","3","2","https://pbs.twimg.com/tweet_video_thumb/GdgREaHWcAAPoAH.jpg",,,,,"false","1862257218898329791","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","Just for fun, Democrats tell us Donald Trump will NEVER be president of the United States!  Wrong...twice! https://t.co/DMOf1HA1zq","Thu Nov 28 20:48:00 +0000 2024","165","4710","73","11","7","14","https://pbs.twimg.com/ext_tw_video_thumb/1862236949865484288/pu/img/SQc5WaWpCa3Y7twL.jpg",,,,,"false","1862237026281468259","false","false",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","I'm still in the state of shock that we were able to win all seven swing states knowing how easily Democrats cheat. I think they were just intimidated by Trump's promise of prosecution andthe RNC's legal teams.","Thu Nov 28 20:17:44 +0000 2024","37","4737","6","12","1","0",,,,,"1862186914377269662","false","1862229410201399556","false","true",
"true","false","https://pbs.twimg.com/profile_banners/17980523/1723738910","Tue Dec 09 01:54:21 +0000 2008","CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.","yourvoicenews.com","https://www.yourvoicenews.com","0","23","https://t.co/fXjbL2Wzv7","0","38944","444975","14224","true","17980523","true","false","false","Virginia","18049","Bill Mitchell","1863716517168238709","false","https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg","","267127","https://twitter.com/mitchellvii","user","https://x.com/mitchellvii","mitchellvii","I predict that Donald Trump's first hundred days in office are going to be the best first hundred days of any president in history!","Thu Nov 28 20:13:20 +0000 2024","170","5891","28","7","2","0",,,,,"1862183070826103200","false","1862228301575499997","false","true",
