"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Ellen DeGeneres &amp; Portia de Rossi Move to England After Trump Election Win   |  Click to read more 👇 https://t.co/wWMi9zzg4W","Wed Nov 20 22:03:46 +0000 2024","2473","899621","203","1110","274","85",,,"false","1859356989127553032","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Christian Pulisic was seen on Monday night hitting the Donald Trump dance after a goal. https://t.co/db0zBYrZYi","Tue Nov 19 22:00:27 +0000 2024","69","36505","12","20","1","0","https://pbs.twimg.com/media/Gcx4-nLWIAA4uuK.jpg",,"false","1858993767493091561","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Jon Jones Does Trump Dance after KO at UFC 309   |  Click to read more 👇 https://t.co/i0HeyteCBP","Sun Nov 17 14:03:03 +0000 2024","244","55344","24","23","4","1",,,"false","1858148850709532741","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Donald Trump Attends UFC 309 W/ Elon Musk, RFK Jr., Gets Massive Ovation!   |  Click to read more 👇 https://t.co/S4CqdRGTnl","Sun Nov 17 04:13:10 +0000 2024","626","71167","53","89","10","11",,,"false","1858000403549311421","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Michael Moore Says Americans Are Not Good People, Electing Trump Latest Crime   |  Click to read more 👇 https://t.co/B6d9toxtwl","Sat Nov 16 19:48:34 +0000 2024","196","61098","24","152","7","6",,,"false","1857873417350848621","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Donald Trump Jokes Elon Musk Likes Mar-a-Lago So Much, He Can't Get Him Out   |  Click to read more 👇 https://t.co/S9AxPMSYm6","Fri Nov 15 15:07:42 +0000 2024","74","36740","10","27","3","3",,,"false","1857440345543319578","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Sylvester Stallone Compares Donald Trump to his Famous Character Rocky Balboa   |  Click to read more 👇 https://t.co/FbQlzpzClZ","Fri Nov 15 12:04:40 +0000 2024","181","57755","16","60","5","8",,,"false","1857394284632183201","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Pete Hegseth's nomination by Donald Trump for U.S. Secretary of Defense has sparked quite a bit of chatter ... especially regarding the Fox News host's aim -- or lack thereof. https://t.co/godz0PJ3ns","Thu Nov 14 05:00:14 +0000 2024","32","32970","13","21","0","0","https://pbs.twimg.com/media/GcUfhdDW0AAunWI.jpg",,"false","1856925083635204593","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Donald Trump Visits White House to Meet President Biden, Melania Declines   |  Click to read more 👇 https://t.co/Hsx7AYcszG","Wed Nov 13 16:03:32 +0000 2024","55","41436","6","29","1","2",,,"false","1856729620772429939","false","false",
"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.","TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8183026","925","true","16331010","true","false","false","Los Angeles, CA","57198","TMZ","false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463612","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Joe Rogan Says Elon Musk Developed a Custom App, Knew Trump Won Early   |  Click to read more 👇 https://t.co/k24sII5GeY","Tue Nov 12 18:47:10 +0000 2024","94","46564","23","27","4","6",,,"false","1856408414076690456","false","false",
