"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","Biden: I hope Trump rethinks tariffs on Mexico and Canada.","Fri Nov 29 00:56:59 +0000 2024","840","248132","34","241","16","15",,,"false","1862299684661780596","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","""President Trump’s administration reportedly plans to eliminate capital gains taxes on cryptocurrencies issued by U.S.-registered companies,"" per CryptoSlate.","Thu Nov 28 18:01:00 +0000 2024","13988","1584676","1305","504","387","848",,,"false","1862194999443751259","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","How other countries would respond if Donald Trump implements his US tariffs, per Bloomberg: https://t.co/SsnjaRt46e","Thu Nov 28 17:31:00 +0000 2024","232","115975","30","84","5","38","https://pbs.twimg.com/media/GdQ88WJaoAE19hR.jpg",,"false","1862187449528586364","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","""Trump win has [some] economists concerned US economy will fail to make soft landing,"" per YF.

""We are in the soft landing,"" Nobel prize-winning economist and Columbia University professor Joseph Stiglitz said: ""But that ends Jan. 20.""","Thu Nov 28 16:31:00 +0000 2024","611","169911","73","243","28","58",,,"false","1862172350063812828","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","Trump has said the Mexican President has agreed to stop migration through Mexico, and into the US, effectively closing our Southern border. https://t.co/xB2T9lgQrs","Thu Nov 28 04:23:33 +0000 2024","3706","317733","200","311","37","116","https://pbs.twimg.com/media/GdcdYWUXsAAsvUO.jpg",,"false","1861989283378110760","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","BREAKING: The union representing members of the Democratic National Committee state that two-thirds of its members have been fired since the election where Kamala Harris lost to Donald Trump, per FOX","Thu Nov 28 00:07:22 +0000 2024","3777","514935","460","336","64","113",,,"false","1861924809036468248","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","Trump’s Treasury Secretary Howard Lutnick was one of Trump’s political nominees targeted by bomb threats &amp; hoax phone calls, per Bloomberg.

New York State troopers received an email about 8am claiming that a bomb had been placed in the mailbox of Lutnick’s Upper East Side home","Wed Nov 27 19:55:14 +0000 2024","229","100643","30","44","1","12",,,"false","1861861360159822116","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","Trump is considering pro-crypto Paul Atkins to replace SEC Chair Gary Gensler.","Wed Nov 27 18:40:49 +0000 2024","1338","191516","132","92","15","28",,,"false","1861842631376121871","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","It's ""nonesense"" to expect Trump's policies to spark a resurgence of inflation in the coming years, economist Steve Hanke has said.","Wed Nov 27 16:57:00 +0000 2024","436","157747","29","111","10","25",,,"false","1861816504997556727","false","false",
"false","true","https://pbs.twimg.com/profile_banners/1200616796295847936/1732305261","Sat Nov 30 03:25:32 +0000 2019","Stocks/Options/Crypto/Market News + Tools. Not advice

🐳 who changed 🏛️.

Get $50-$5000 to trade: https://t.co/wGf2ZdlXpw
Discord: https://t.co/0xJ9e0ZYYG
More: https://t.co/nsxZlPV0pC","bit.ly/4ayctTD","http://bit.ly/4ayctTD","98","121","https://t.co/wGf2ZdlXpw","bit.ly/3Bf2pNJ","http://bit.ly/3Bf2pNJ","131","154","https://t.co/0xJ9e0ZYYG","bit.ly/3V8D6Gb","http://bit.ly/3V8D6Gb","161","184","https://t.co/nsxZlPV0pC","unusualwhales.com","https://unusualwhales.com","0","23","https://t.co/Fmux22k4t1","0","63671","1941024","2403","true","1200616796295847936","true","false","false","United States","24699","unusual_whales","1742207287966777673","false","https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png","","131549","https://twitter.com/unusual_whales","user","https://x.com/unusual_whales","unusual_whales","Donald Trump has suggested eliminating U.S. income tax and replacing it with tariffs on imports.

Read more: https://t.co/kNJDXRwP2e","Wed Nov 27 04:36:00 +0000 2024","198","73953","24","40","5","11",,,"true","1861630026757874101","false","false","1200616796295847936"
