"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","media/1","media/2","media/3","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","JUST IN: Bill Clinton says in his new memoir he “couldn’t sleep for two years” and had “outbursts of rage” after Trump defeated Hillary in 2016.

Now, what would keep him up at night? 🤔 https://t.co/EiMwyd8Sw4","Sat Nov 30 13:30:00 +0000 2024","1647","49925","487","124","13","73","https://pbs.twimg.com/ext_tw_video_thumb/1862788328203943936/pu/img/ejUNi0F_ME44cOsc.jpg","https://pbs.twimg.com/media/Gdn0KQTWsAIqK23.jpg","https://pbs.twimg.com/media/Gdn0Le0XkAApsXA.jpg","https://pbs.twimg.com/media/Gdn0MJOW4AADP5a.jpg",,"false","1862851575330566239","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","Did You Know: First Lady @MelaniaTrump says in her book ""Melania"" that both she and Barron Trump were DEBANKED? 

UNBELIEVABLE. https://t.co/wtHkYwrTm1","Sat Nov 30 12:30:00 +0000 2024","1001","42762","308","65","13","33","https://pbs.twimg.com/media/GdnyRs7XsAARQr-.png",,,,,"false","1862836476901273715","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","Last night, Canadian PM Justin Trudeau met with President-Elect Trump at Mar-a-Lago.

What do you notice? 👀 https://t.co/i4pLp4fkXL","Sat Nov 30 11:30:00 +0000 2024","3967","902504","415","1089","96","232","https://pbs.twimg.com/media/GdnubCKWcAAXVzP.jpg",,,,,"false","1862821376215720243","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","This is a party that doesn't know how to moderate. The problem is Democrats called Trump ""Hitler"" and a ""fascist"" and a ""racist"" and everything bad in the English language and nobody believed them.

They won't change their destructive policies because the destruction is the point","Sat Nov 30 09:22:40 +0000 2024","192","13804","55","21","2","7",,,,,"1862617805125755222","false","1862789334509719883","false","true",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","This NY Times hit piece is the opposite of the truth. The broken Republican Party led many conservative influencers to take to social media. 

Most of these popular influencers are Trump supporters — a lot of them reluctant ones — who are motivated to hold both destructive","Sat Nov 30 09:04:54 +0000 2024","372","26602","89","32","5","13",,,,,"1862572708242104613","false","1862784859581661315","false","true",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","Hakeem Jeffries claims Democratic lawmakers were threatened by ""MAGA supporters"" over Thanksgiving.

He claims they signed messages with ""MAGA,"" and just like real threats against Trump Cabinet members, included bomb threats and swatting.

Do you believe him? #THISISMAGACOUNTRY https://t.co/naG4TIQGmW","Sat Nov 30 00:30:00 +0000 2024","497","58621","86","988","57","11","https://pbs.twimg.com/media/Gdk8Pq3WIAARqSE.jpg",,,,,"false","1862655283392106594","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","“He will dictate to them. That’s how autocracy begins.”

CNN is *PANICKING* over Big Tech CEOs like @ElonMusk, @JeffBezos, and Mark Zuckerberg cozying up to future President Donald Trump.

“They’re all bending the knee the same way that Jeff Bezos bent the knee even before the https://t.co/wAMdJleRes","Fri Nov 29 23:30:00 +0000 2024","320","27370","88","52","4","18","https://pbs.twimg.com/ext_tw_video_thumb/1862574553995653120/pu/img/y9zDzCwd99EWIH8b.jpg",,,,,"false","1862640182593277978","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","Donald Trump’s historic election victory is fueling a massive surge in Americans looking to flee the country.

According to Visa Guide World, the number of related Google searches spiked 1,514% percent.

What's your reaction? https://t.co/0MLgWXCrkJ","Fri Nov 29 22:30:00 +0000 2024","917","35754","112","867","25","8","https://pbs.twimg.com/ext_tw_video_thumb/1862570277676146688/pu/img/Hfpt5UI6hK3KS7sS.jpg",,,,,"false","1862625083744747589","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","PBS is back to spreading incendiary lies that Trump's election is leading to a 'spike in hate crimes.'

The Southern Poverty Law Center's CEO pushed the baseless claim in a PBS interview:

“It’s really clear to us that hate and extremist groups are using the election of Donald https://t.co/DzclFF2pRt","Fri Nov 29 19:30:00 +0000 2024","656","25314","181","219","34","23","https://pbs.twimg.com/ext_tw_video_thumb/1862549799196663808/pu/img/IeVcTSw0aJe7pozc.jpg",,,,,"false","1862579785853006036","false","false",
"false","false","https://pbs.twimg.com/profile_banners/321954654/1668045045","Wed Jun 22 12:06:56 +0000 2011","Independent journalist. Freelance Writer & Producer. Previous: Writer/Assoc. Producer for #1 Fox News show. Sr. Managing Editor for Top 5 News Publication.","thekylebecker.com","https://www.thekylebecker.com/","0","23","https://t.co/hVChFZaQ3D","0","398137","628031","2796","false","321954654","true","false","false","Dallas, TX","12582","Kyle Becker","false","https://pbs.twimg.com/profile_images/1758497181210734593/GTx_3XCf_normal.jpg","","121739","https://twitter.com/kylenabecker","user","https://x.com/kylenabecker","kylenabecker","JUST IN: CNN *LOSES IT* over video of @ElonMusk and @RealDonaldTrump celebrating Thanksgiving together.

“It’s all really creepy, but money talks. And it’s clear that — that Elon Musk has a motive here. He sees by cozying up to Donald Trump, he’s going to have influence in ways https://t.co/FakBGWRBnp","Fri Nov 29 18:39:12 +0000 2024","482","24589","106","134","16","9","https://pbs.twimg.com/ext_tw_video_thumb/1862566759816933376/pu/img/DpJGCL62Ckszz-nE.jpg",,,,,"false","1862567002939752666","false","false",
