"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/description/urls/4/display_url","author/entities/description/urls/4/expanded_url","author/entities/description/urls/4/indices/0","author/entities/description/urls/4/indices/1","author/entities/description/urls/4/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"true","false","https://pbs.twimg.com/profile_banners/764165707/1611312478","Fri Aug 17 17:58:08 +0000 2012","#Resistance
#Biden/Harris
Be Kind  🌼",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","23298","3000","4264","true","764165707","false","false","false","Florida, USA","409","FloridaDemGurl🌞🇺🇸🌼",,"false","https://pbs.twimg.com/profile_images/833352941352415232/Eca6MmaF_normal.jpg","","53623","https://twitter.com/MJWebb3","user","https://x.com/MJWebb3","MJWebb3",,"@wesley_jordan @MegyeriJoseph Firing MUELLER won't stop the investigation.","Tue Apr 10 23:58:41 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/712444354414125056/1458696599","Wed Mar 23 01:02:25 +0000 2016","Truenewws was created as a venue to seek and speak the truth. Our tweets and positions are our own. We are unbounded and unapologetic.",,,,,,,,,,,,,,,,,,,,,,,,,,"truenewwws.com","https://truenewwws.com","0","23","https://t.co/I4fNOiB454","0","16281","310","294","true","712444354414125056","false","false","false","United States","461","ldris Elder",,"false","https://pbs.twimg.com/profile_images/1381230947161489409/rC3sfaii_normal.jpg","","17177","https://twitter.com/TrueNewws","user","https://x.com/TrueNewws","TrueNewws",,"Wouldn’t it be nice if Trump was arrested and charged with impeding a federal investigation, if he were to fire Rosenstein or Mueller? https://t.co/11idunVtFA","Tue Apr 10 23:58:33 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/379501471/1678820896","Sun Sep 25 02:33:43 +0000 2011","@theathletic @topps @Independent alumnus of @fivethirtyeight @wsjsports @yahoosports; Pod: @breakfast_pod: https://t.co/MwNCUh5J6X…","patreon.com/BreakfastTable","http://patreon.com/BreakfastTable","107","130","https://t.co/MwNCUh5J6X",,,,,,,,,,,,,,,,,,,,,,,,,,"0","81824","13316","1339","true","379501471","false","false","false","Rutherford, NJ","10135","Michael Salfino","1858359615991230770","false","https://pbs.twimg.com/profile_images/695343226916483072/RkciCt0L_normal.png","","290862","https://twitter.com/MichaelSalfino","user","https://x.com/MichaelSalfino","MichaelSalfino",,"@Amy_Siskind @csd It’s almost like they secretly want the Mueller investigation to end.","Tue Apr 10 23:58:32 +0000 2018"
"false","true",,"Wed Nov 19 23:18:45 +0000 2014","Nurse, Proud Liberal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17791","272","421","true","2884934475","false","false","false","Dublin, OH","135","Zelda",,"false","https://pbs.twimg.com/profile_images/958053635124092928/VYZzSy0q_normal.jpg","","9575","https://twitter.com/Lynette_618","user","https://x.com/Lynette_618","Lynette_618",,"@realDonaldTrump If you fire Mueller then we would know for sure that you are guilty. The other situation with your lawyer Cohen is out of your hands. The investigation would go forth even if you did fire Mueller. So don't fire Mueller &amp; act is if you are clueless. #MeToo","Tue Apr 10 23:58:18 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/777705433171693568/1567035223","Mon Sep 19 03:06:39 +0000 2016","#IsupportUkraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","124679","450","824","true","777705433171693568","false","false","false","Illinois, USA","278","BRV","950240930514251776","false","https://pbs.twimg.com/profile_images/1490488717609480197/fhzJHV5m_normal.jpg","","57371","https://twitter.com/theKungFuGrip1","user","https://x.com/theKungFuGrip1","theKungFuGrip1",,"@flake @SenJohnMcCain @SenBobCorker WE need heroes to speak up for the FBI AND MUELLER. Protect the investigation!","Tue Apr 10 23:57:55 +0000 2018"
"false","true",,"Sat Dec 22 14:46:26 +0000 2007","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","119","53","false","11432912","false","false","false","","38","Orphan",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","116859","https://twitter.com/Orphan","user","https://x.com/Orphan","Orphan",,"Mr. Mueller’s investigators have interviewed current and former White House officials and have requested documents to understand whether these efforts show evidence the president is trying to obstruct the Justice Department’s investigation""","Tue Apr 10 23:57:45 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/47413327/1520273942","Mon Jun 15 19:03:38 +0000 2009","Dad, UltraRunner, marathoner, Engineer, Pilot, Triathlete, Politics Junkie, atheist, veggie. mostly on Threads now: morey000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","31924","464","484","true","47413327","false","false","false","Tucson, AZ","655","gasping for breath",,"false","https://pbs.twimg.com/profile_images/264271908/Avatar_normal.jpg","","30354","https://twitter.com/morey000","user","https://x.com/morey000","morey000",,"@Amy_Siskind if Trump fires Mueller, and tries to stop the investigation... GOP leadership will do absolutely nothing.  guaranteed.","Tue Apr 10 23:57:34 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/4191882693/1645361943","Sun Nov 15 06:19:20 +0000 2015","New York born, Florida raised. My interest include politics, psychology, nature & self defense. #Bluewave #Buttigiegdot  #teampete #gayman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","31220","301","1793","true","4191882693","false","false","false","Altamonte Springs, FL","65","Chris Gumar",,"false","https://pbs.twimg.com/profile_images/1495382491594694656/ddv0moZz_normal.jpg","","3488","https://twitter.com/chris_gumar","user","https://x.com/chris_gumar","chris_gumar",,"We must resist any attempts to undermine or stop Mueller from completing investigation. #MuellerInvestigation #Resist #RussiaGate https://t.co/oR41ocYezT","Tue Apr 10 23:57:23 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/874457221014466562/1605128679","Tue Jun 13 02:43:42 +0000 2017","Bird of Prey Small Sanctuary owner. IT Analyst @ Northrop Grumman Drone Collector &Competitor 🌊🌊RESIST 🌊2020🌊",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","375185","12957","14458","true","874457221014466562","false","false","false","","30971","Deke",,"false","https://pbs.twimg.com/profile_images/939630790241071105/ECEDhs4O_normal.jpg","","178901","https://twitter.com/TapestryofPeace","user","https://x.com/TapestryofPeace","TapestryofPeace",,"@PatrickMcHenry @IvankaTrump @SpeakerRyan @POTUS Daddy’s gonna throw you under the bus!  Fire Mueller and hundreds of Ivanka SOHO files go right to NY.  You know Don! You KNOW he will. You should have stayed under moms wings. The investigation has gotten way too big. Deep Rooted in a few states now!  Justice will prevail 🇺🇸","Tue Apr 10 23:57:21 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/26758509/1449621012","Thu Mar 26 14:19:38 +0000 2009","Grandma in Florida #Twin  #NotMyPresident  #LoveTrumpsHate  #Resist  #Vote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","105199","3858","4285","true","26758509","false","false","false","Florida","680","Patti Coppersmith","1174154087434268673","false","https://pbs.twimg.com/profile_images/2577986072/image_normal.jpg","","135155","https://twitter.com/coppertime","user","https://x.com/coppertime","coppertime",,"@Jennifer_Resist @SpeakerRyan Now it seems the Dotard is planning on firing Sessions &amp; Rosenstein, appointing a new Attorney General, and changing Mueller investigation to ONLY cover Russia. He is so guilty of money laundering. RICO will catch up to him.","Tue Apr 10 23:57:13 +0000 2018"
"false","false",,"Fri May 26 02:25:51 +0000 2017","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","688","3","277","true","867929743815053312","false","false","false","","13","Debbie",,"false","https://pbs.twimg.com/profile_images/983497721293230080/TRo2AY9i_normal.jpg","","244","https://twitter.com/MtAiryDeb","user","https://x.com/MtAiryDeb","MtAiryDeb",,"@gatewaypundit @Cernovich @DevinNunes Please hold them accountable enough of stonewalling. The document that started this counter intelligence investigation must be damaging. They r hoping that Trump fires Mueller so distraction of their wrong doing! Don’t let us “deplorable” down. Walk and retrieve!","Tue Apr 10 23:57:08 +0000 2018"
"false","true",,"Sat Dec 28 15:34:22 +0000 2013","Martial Arts (Kenpo), Information Security Profession, NRA Certified Instructor, #Longmire huge fan. Make custom leather  holsters, no dating, IFB followers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","93004","2365","3001","true","2266063400","false","false","false","Connecticut, USA","594","James R ***","1091778887061831680","false","https://pbs.twimg.com/profile_images/863015309728460800/NiPxfFho_normal.jpg","","71518","https://twitter.com/KenpoIII","user","https://x.com/KenpoIII","KenpoIII",,"@RepDeSantis @RepDevinNunes time to end Mueller investigation.  It is a shame on US law and nothing more than a witch hunt! #MAGA @dbongino","Tue Apr 10 23:56:43 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/3220444539/1611311774","Wed Apr 29 05:25:39 +0000 2015","Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","5933","45","304","true","3220444539","false","false","false","United States","119","Kennedy",,"false","https://pbs.twimg.com/profile_images/1350728651936063488/FGsR8z31_normal.jpg","","6810","https://twitter.com/KennedyWheels37","user","https://x.com/KennedyWheels37","KennedyWheels37",,"@realDonaldTrump You are trying to make the case so some one else to fire Mueller......BUT it WILL NOT stop the investigation! NO matter who you fire.....GO ahead and do it....then the democrats will sweep the 2018 elections. ONE TERM trump !! HaHa !! Impeachment! ByeBye!","Tue Apr 10 23:56:38 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/3009181951/1422967901","Tue Feb 03 11:57:16 +0000 2015","Proud MA liberal.  Bicycles, motorcycles, cars.  Racing since '76, CCB since '83.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17512","188","912","true","3009181951","false","false","false","","20","steve casey",,"false","https://pbs.twimg.com/profile_images/562594423062548480/J7ZRyX0L_normal.jpeg","","7530","https://twitter.com/sccwheels","user","https://x.com/sccwheels","sccwheels",,"@krassenstein @artemis1954 Given the events of the last couple of days, I would be surprised if Mueller and Rosenstein don't already have a contingency plan in place to deal with any possble moves by Trump to limit or quash the current investigation.","Tue Apr 10 23:56:34 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/392386671/1682486861","Sun Oct 16 23:31:04 +0000 2011","My WW2 veteran father warned decades ago that conservatives pooled resources with zealots to VASTLY con the public. #GoodTwitter I'm also @barbetta1.bsky.social",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","333582","10394","9167","true","392386671","false","false","false","🇨🇦UWO and Univ Guelph alumna","11911","Barb in Alberta ☕🍁Resist. Spread truth. Rest up.","1357935448606183424","false","https://pbs.twimg.com/profile_images/1499825448607305730/vy_ZVPtP_normal.jpg","","227126","https://twitter.com/barbetta1","user","https://x.com/barbetta1","barbetta1",,"@renato_mariotti @joncoopertweets @OutFrontCNN @ErinBurnett @CNN Can Trump close down Mueller's entire investigation? Whether or not he can* I think he'll keep firing, Rosenstein, Mueller, and Mueller's team, until he can't anymore. Trump is a desperate man, or at least he will be eventually
*Roger Stone &amp; Roger Ailes thought Nixon should have","Tue Apr 10 23:56:18 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/968032866/1613305399","Sat Nov 24 13:38:23 +0000 2012","il·lu·sion  \ i-ˈlü-zhən\-perception of something objectively existing in such a way as to cause misinterpretation of its actual nature.  Pronouns What/HUH?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","92568","1474","1584","true","968032866","false","false","false","NoWhere","13166","SεяεИέАqцαмαяiηε","937724200600637441","false","https://pbs.twimg.com/profile_images/1360927595106361344/oq5IKEuP_normal.jpg","","62928","https://twitter.com/AQUAB23","user","https://x.com/AQUAB23","AQUAB23",,"Fake AF #Zuckerberg pointing the finger at Russia for election meddling, yet everyone closes their eyes to our corrupt politicians doing it elsewhere 
https://t.co/EQHuqOm7fx","Tue Apr 10 22:28:47 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/943164861361528832/1693703935","Tue Dec 19 17:03:20 +0000 2017","navy vet...LNC. Second career as an RN.  Love the Caribbean. Liberal. Vote blue. Everyone is beautiful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","91089","826","679","true","943164861361528832","false","false","false","Colorado, USA","2229","julie",,"false","https://pbs.twimg.com/profile_images/1855010923263803392/M6L0BM1Z_normal.jpg","","31489","https://twitter.com/rosesnvines","user","https://x.com/rosesnvines","rosesnvines",,"@4everReagan @BillieDene @majohnson55303 @Love_The_Donald @VP @nikkihaley @POTUS I have none. He was fired by president obama. He was being being investigated because for contacting the Russia ambassador &amp; and telling him the the US was going to impose sanctions. All calls to/ambassadors phone were being tapped b/c of the Russian meddling in our election","Tue Apr 10 22:27:23 +0000 2018"
