"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/24748172/1564262177","Mon Mar 16 19:14:06 +0000 2009","It's Me The Shopaholic Pisces With An Addiction To Quotes & Very Strong Opinions About Any & Everything!",,,,,,"0","135866","1145","4448","true","24748172","false","false","false","Obama Avenue","17575","Tiffani",,"false","https://pbs.twimg.com/profile_images/1155225414471573504/BShudszf_normal.jpg","","150797","https://twitter.com/Tiffluvs2shop","user","https://x.com/Tiffluvs2shop","Tiffluvs2shop",,"Ex-Obama official: I was concerned about Russian meddling 'cover-up' after the election - CNBC https://t.co/BDlsDto2ts","Sat Apr 01 23:15:18 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/24748172/1564262177","Mon Mar 16 19:14:06 +0000 2009","It's Me The Shopaholic Pisces With An Addiction To Quotes & Very Strong Opinions About Any & Everything!",,,,,,"0","135866","1145","4448","true","24748172","false","false","false","Obama Avenue","17575","Tiffani",,"false","https://pbs.twimg.com/profile_images/1155225414471573504/BShudszf_normal.jpg","","150797","https://twitter.com/Tiffluvs2shop","user","https://x.com/Tiffluvs2shop","Tiffluvs2shop",,"Russia draws senators' focus in hearing on election meddling - ABC News https://t.co/9o1bVxEsKh","Sat Apr 01 23:14:51 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/24748172/1564262177","Mon Mar 16 19:14:06 +0000 2009","It's Me The Shopaholic Pisces With An Addiction To Quotes & Very Strong Opinions About Any & Everything!",,,,,,"0","135866","1145","4448","true","24748172","false","false","false","Obama Avenue","17575","Tiffani",,"false","https://pbs.twimg.com/profile_images/1155225414471573504/BShudszf_normal.jpg","","150797","https://twitter.com/Tiffluvs2shop","user","https://x.com/Tiffluvs2shop","Tiffluvs2shop",,"Senate hearing probes Russian election meddling; Putin rejects accusations - The Globe and Mail https://t.co/yFM7OcnjhX","Sat Apr 01 23:14:34 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/24748172/1564262177","Mon Mar 16 19:14:06 +0000 2009","It's Me The Shopaholic Pisces With An Addiction To Quotes & Very Strong Opinions About Any & Everything!",,,,,,"0","135866","1145","4448","true","24748172","false","false","false","Obama Avenue","17575","Tiffani",,"false","https://pbs.twimg.com/profile_images/1155225414471573504/BShudszf_normal.jpg","","150797","https://twitter.com/Tiffluvs2shop","user","https://x.com/Tiffluvs2shop","Tiffluvs2shop",,"James Comey wanted to reveal Russian meddling months before election - Daily Mail https://t.co/9r9EkZjeVl","Sat Apr 01 23:13:31 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/379383555/1664929429","Sat Sep 24 21:28:56 +0000 2011","Why is he still alive?
He is 60 years old.
How much more does he want from God?
                                            - lines from an Iranian movie",,,,,,"0","150700","1210","553","true","379383555","false","false","false","Salish Sea","89","Dave's a real name",,"false","https://pbs.twimg.com/profile_images/1840543365638856704/fp03pNhg_normal.jpg","","60678","https://twitter.com/davidconstable6","user","https://x.com/davidconstable6","davidconstable6",,"@smerconish Irony: your reps, senate and FBI check Russian meddling in your election, while AIPAC begins its annual meeting in Washington.","Sat Apr 01 23:00:22 +0000 2017"
,,,,,,"false","false",,"Fri Mar 13 20:53:52 +0000 2015","Photographer, videographer, activist, environmentalist | disabled #Vet | #DOD & Army Officer(R) | In @BBC @thehill #WAPO #SecondCivilWarLetters",,,,,,"0","215862","30948","27424","false","3078134492","false","false","false","Tennessee, USA","8250","Amanda Blount 🇺🇸🌻","1858302049835684183","false","https://pbs.twimg.com/profile_images/1301930460730269697/1fvl558l_normal.jpg","","131618","https://twitter.com/amandablount2","user","https://x.com/amandablount2","amandablount2",,"Someone needs to write a book that this entire election was one big operation to catch Russia meddling in worldwide elections.","Sat Apr 01 22:57:35 +0000 2017"
,,,,,,"false","true",,"Sun Jun 27 12:08:19 +0000 2010","",,,,,,"0","5157","72","206","false","160178671","false","false","false","","24","Jim T.",,"false","https://pbs.twimg.com/profile_images/980099149134786561/WCben8fE_normal.jpg","","7941","https://twitter.com/jtroutman1313","user","https://x.com/jtroutman1313","jtroutman1313",,"@SheriffClarke @washingtonpost Those who don't care outside of D.C. about Russia meddling in the election need to crawl back in their holes.","Sat Apr 01 22:54:33 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/147050546/1562628651","Sun May 23 02:45:57 +0000 2010","Christian, USN Developer of Shoot hoops Not Drugs Clinics inventor of Rite Flite and Spectraball Training B-Ball. Vehicle Wraps,MAGA, RIP Jess xo",,,,,,"0","5927","874","1578","true","147050546","false","false","false","Trumpville Ohio","397","MAGAmerica ⛳️.  💥🏌",,"false","https://pbs.twimg.com/profile_images/1142974522502590464/1alymn7v_normal.jpg","","11716","https://twitter.com/SpectraBallPro","user","https://x.com/SpectraBallPro","SpectraBallPro",,"If meddling in an election is an ""Act of War"" then the DNC/HRC/CNN project Veritas info on whats his name R all guilty of Treason against us","Sat Apr 01 22:54:13 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/784125366759624704/1605238946","Thu Oct 06 20:17:10 +0000 2016","Where Would We Be Without Nurses and Doctors. Live Loving Kindness #StayHome.#WearAMask😷. #BlackLivesMatter #StillWithHer #BidenHarris",,,,,,"0","88116","3181","4147","true","784125366759624704","false","false","false","Western WA","120","Megan McKenzie ~ 100 Days of Mask Up",,"false","https://pbs.twimg.com/profile_images/1295445985934446592/bxDETZa8_normal.jpg","","148911","https://twitter.com/meganmckenzie94","user","https://x.com/meganmckenzie94","meganmckenzie94",,"@McFaul @NonaHarman Meddling too benign compared to reality.Domestic violence with felony often called a dispute. Our election was violated and tainted.","Sat Apr 01 22:45:16 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/583117972/1432695192","Thu May 17 20:33:22 +0000 2012","Old Liberal. Bipolar. metaphorical bomb thrower. Passionately profane. Flirt. Scalawag. Deco, Parrothead. Living on reds, vitamin C and cocaine...",,,,,,"0","131592","3986","3337","true","583117972","false","false","false","Columbus, OH","57371","Madman In A Blue Box~... IT'S TIMELORD TECHNOLOGY","1261038277433397251","false","https://pbs.twimg.com/profile_images/1742004167818846209/0O4SGPKi_normal.jpg","","593243","https://twitter.com/AnOldLefty","user","https://x.com/AnOldLefty","AnOldLefty",,"‘CBS News’ Drops Trump Election Meddling Weekend Surprise – It’s Happening https://t.co/ywiVpXUftr via @Bipartisan Report","Sat Apr 01 22:39:17 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3029925590/1424686865","Thu Feb 19 12:54:49 +0000 2015","💉 💉 💉 💉 💉 MedLabScientist, Retired. Progressive #DemocraticSocialist, (#Research #LifeSciences, #Finance)💧Welcome to my tribe 🙏🏽",,,,,,"0","691","1903","4493","true","3029925590","false","false","false","Brisbane, Queensland,Australia","515","jsavill","1222081198647701504","false","https://pbs.twimg.com/profile_images/1341562100192145410/OVXJFTpr_normal.jpg","","54605","https://twitter.com/savillj013","user","https://x.com/savillj013","savillj013",,"Michael Flynn willing to be interviewed by congressional investigators as part of their probe into #Russian election meddling","Sat Apr 01 22:36:17 +0000 2017"
"https://pbs.twimg.com/profile_images/1617634745348661249/6YmPYpNd_bigger.jpg","CBS News","https://twitter.com/CBSNews","DeepLink","Badge","BusinessLabel","false","true","https://pbs.twimg.com/profile_banners/205392468/1581696091","Wed Oct 20 19:37:47 +0000 2010","Moderated by @margbrennan of @CBSNews, we are America's #1 Sunday morning public affairs show |  📸 IG: @facethenation","facethenation.com","http://facethenation.com","0","23","https://t.co/eAU2JMPdV1","0","1150","518352","1496","true","205392468","true","false","false","Washington, DC","18640","Face The Nation",,"false","https://pbs.twimg.com/profile_images/1591191757693280256/XAVM86-A_normal.jpg","","51067","https://twitter.com/FaceTheNation","user","https://x.com/FaceTheNation","FaceTheNation","Business","Tomorrow: @SenAngusKing (I-ME) weighs in on the Senate Intelligence Committee's investigation into Russian meddling in the 2016 US election. https://t.co/RlD1k8UYRS","Sat Apr 01 22:32:31 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/280686202/1519440481","Mon Apr 11 21:01:18 +0000 2011","",,,,,,"0","19495","564","1020","false","280686202","false","false","false","San Diego, CA","320","brian",,"false","https://pbs.twimg.com/profile_images/1009865027904405505/UOVeASSD_normal.jpg","","16190","https://twitter.com/briman_","user","https://x.com/briman_","briman_",,"@JohnSpacedow Whether anyone bit the bait is irrelevant to the intent behind the operation. Youre an apologist for proven RU-led election meddling. 🤦🏼‍♂️","Sat Apr 01 22:25:26 +0000 2017"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/704450747149230081/1720841409","Mon Feb 29 23:38:41 +0000 2016","Every picture tells a story.",,,,,,"0","4476","299","1459","true","704450747149230081","false","false","false","New Haven, CT","668","Charlie Barrett",,"false","https://pbs.twimg.com/profile_images/1702582685699387392/uw3kWvZ9_normal.jpg","","1014","https://twitter.com/charliephotoct","user","https://x.com/charliephotoct","charliephotoct",,"I added a video to a @YouTube playlist https://t.co/2q24ylJDdP FBI director tried to reveal Russian meddling before the election","Sat Apr 01 22:17:38 +0000 2017"
