"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/description/urls/4/display_url","author/entities/description/urls/4/expanded_url","author/entities/description/urls/4/indices/0","author/entities/description/urls/4/indices/1","author/entities/description/urls/4/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"true","true","https://pbs.twimg.com/profile_banners/435669596/1720848240","Tue Dec 13 09:42:59 +0000 2011","PRAISE/WORSHIP GOD & JESUS CHRIST I.N.R.I. Geopolitics • International Relations • Diplomacy Philanthropist • Humanitarianism • Peacemaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","5374","333","2242","false","435669596","false","false","false","DC | Vatican | Israel | Global","506","Hologram Jesus 🙏🏻✝️📸✨",,"false","https://pbs.twimg.com/profile_images/1856809403602616321/l2l2fstn_normal.jpg","","12532","https://twitter.com/Jesus_Mohammad","user","https://x.com/Jesus_Mohammad","Jesus_Mohammad",,"Why would @POTUS @realDonaldTrump fire #Mueller when the whole investigation is imploding: no Trump-Russia collusion. 

@RealAlexJones
@DRUDGE
@seanhannity

@SpeakerRyan @SenateMajLdr
@SenSchumer @NancyPelosi

@CNN @nytimes
@washingtonpost
@FoxNews @MSNBC
@BostonGlobe @latimes","Thu Mar 22 23:59:20 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/168170834/1402062304","Sun Jul 18 16:02:13 +0000 2010","@CAPAction VP for Research.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17156","2867","2723","false","168170834","false","false","false","","2768","Will Ragland","1706464489149792412","false","https://pbs.twimg.com/profile_images/816665405800513538/g7d6MKBZ_normal.jpg","","28777","https://twitter.com/citizenwillis","user","https://x.com/citizenwillis","citizenwillis",,"But don't forget about this:

House Intel ended Russia investigation w either no or incomplete information about 81 percent of the known contacts between Trump officials and Russia and linked groups. 

#CultureofCorruption

https://t.co/OdsHRTiQV7 https://t.co/UChCuH82EL","Thu Mar 22 23:59:09 +0000 2018"
"true","true",,"Wed Jun 21 03:00:34 +0000 2017","Career at US District Ct and state government, mom to 2 daughters, wife to environmental scientist. 
A convicted felon is president.
Also on Bluesky Social.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","51031","12621","12849","true","877360567022792704","false","false","false","Seattle, WA","2995","Cynethryth","911365489460371456","false","https://pbs.twimg.com/profile_images/880779897005723648/wt3UEJOt_normal.jpg","","101987","https://twitter.com/Cynethryth5","user","https://x.com/Cynethryth5","Cynethryth5",,"House Intel Cmte shut down the Russia investigation today, stating they found no evidence of collusion. Well, hell, that's cuz they refused to look at 81% of known contacts between Trump officials and Russia. Their investigation is a CALCULATED SHAM.","Thu Mar 22 23:58:21 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/771205072675942401/1527133914","Thu Sep 01 04:36:32 +0000 2016","Tuai Rumah Ribai -
De Oppresso Liber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","21000","124","365","true","771205072675942401","false","false","false","Ophiuchus","155","Ribai",,"false","https://pbs.twimg.com/profile_images/1033919826618531840/waRln-me_normal.jpg","","4912","https://twitter.com/YAA_SJZ","user","https://x.com/YAA_SJZ","YAA_SJZ",,"@MavisMalaise The investigation of Trump indicates that property was used to launder money from Russia. The sale of Johnkey's dog box could also be money laundering / kickback from China.","Thu Mar 22 23:57:49 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/90776175/1536876227","Wed Nov 18 02:00:49 +0000 2009","Southern Liberal. Social Worker. #Politics #WomensRights #LGBTQ #Environment #TheResistance #BLM #VotingRights #SlavaUkraini #AnimalRights #Choice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","63885","5257","5642","true","90776175","false","false","false","","915","Anne Adams",,"false","https://pbs.twimg.com/profile_images/960321839397593088/nEgjPjnR_normal.jpg","","174066","https://twitter.com/shortreddog","user","https://x.com/shortreddog","shortreddog",,"81% of known people to talk to, were not. Not by the House Committee Investigating Trump/Russia. Repubs shit down the investigation before they could get to 81% of ppl others are talking to &amp; that Dems wanted to bring in. Sure, not at all obvious #collusion","Thu Mar 22 23:56:59 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/116054045/1496378466","Sun Feb 21 00:29:25 +0000 2010","Nana, Momma, Sister, Daughter, Auntie, Friend.  Love my Steelers, Utes, Utah Jazz & my country. Fearful for the mess our country is in! #Resist #Trumprussia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","44719","1442","3944","true","116054045","false","false","false","Salt Lake City, UT","57","Casey Resists","886660163616129024","false","https://pbs.twimg.com/profile_images/883161032625192961/KgTU7D8A_normal.jpg","","39194","https://twitter.com/CaseyM99","user","https://x.com/CaseyM99","CaseyM99",,"Trump's antics to distract &amp; impede groom the Special Counsel Russia investigation have no boundaries. https://t.co/TImEPo2OK2","Thu Mar 22 23:42:39 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/117409736/1706741674","Thu Feb 25 13:36:37 +0000 2010","https://t.co/dSGdljWQz2
( https://t.co/3YRqQrtHoe )
https://t.co/uJ3XbLD23M
( https://t.co/QAwepWKpLk )
( https://t.co/UZ9M5IxBYD 🇨🇳💡 )","instagram.com/PinkBox24Tumbl…","https://instagram.com/PinkBox24Tumbler","0","23","https://t.co/dSGdljWQz2","ChinaShop.Asia","https://ChinaShop.Asia","26","49","https://t.co/3YRqQrtHoe","GVWTV.com","https://GVWTV.com","52","75","https://t.co/uJ3XbLD23M","TwikTwok.com","https://TwikTwok.com","78","101","https://t.co/QAwepWKpLk","DaisyWongChina.com","https://DaisyWongChina.com","106","129","https://t.co/UZ9M5IxBYD","PinkBox24LLC.com","https://PinkBox24LLC.com","0","23","https://t.co/c1i5Kes5bv","0","9197","696","3099","false","117409736","false","false","false","Worldwide","825","Welcome 🌍","896643388090404864","false","https://pbs.twimg.com/profile_images/1752827735699808256/d2h9gW5H_normal.jpg","","143201","https://twitter.com/GVWTVinstagram","user","https://x.com/GVWTVinstagram","GVWTVinstagram",,"⚖Panel discuss Donald Trump’s lead lawyer in Russia investigation quits. #Breaking #RussiaProbe https://t.co/cFfp90FIfq","Thu Mar 22 23:40:40 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/31297650/1668866080","Wed Apr 15 01:37:02 +0000 2009","Florida girl raised in Ireland. Views are my own “Little Girls With Dreams Become Women With Vision.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","59508","350","451","true","31297650","false","false","false","United States","272","Rachel",,"false","https://pbs.twimg.com/profile_images/959223387712352258/BuAdVmUM_normal.jpg","","20315","https://twitter.com/RJMMM","user","https://x.com/RJMMM","RJMMM",,"@marcorubio Trump wants a war. It will distract from the Russia investigation. Terrifying.","Thu Mar 22 23:40:02 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/1911276204/1726242420","Fri Sep 27 14:32:41 +0000 2013","Coder/Developer. He/Him. In light of evidence, I've changed my mind about a lot of things. I'm sure I'll change it a lot more. Any suggestions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","377694","1034","859","true","1911276204","false","false","false","Ypsilanti, MI","961","Brian Urbancic",,"false","https://pbs.twimg.com/profile_images/1831344039532105728/RFTSmPYK_normal.jpg","","43215","https://twitter.com/SciGroupie","user","https://x.com/SciGroupie","SciGroupie",,"@DerrickJosi Strawman. This is the first time we've had widespread awareness, Daily headlines, Congressional inquiries, and a Special Counsel Investigation. Yet Trump has done nothing about Russia and still treats Putin like a trusted friend and comrade.","Thu Mar 22 23:39:20 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/22929686/1611161387","Thu Mar 05 15:14:22 +0000 2009","Loudmouth writer.
“If I were to remain silent, I'd be guilty of complicity.” –Albert Einstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","181723","67736","868","false","22929686","true","false","false","","7625","Polly Sigh","1856517834555244949","false","https://pbs.twimg.com/profile_images/976746654266093570/_oPZ0zM2_normal.jpg","","92269","https://twitter.com/dcpoll","user","https://x.com/dcpoll","dcpoll",,"“The attribution of Guccifer 2.0 as an officer of Russia’s largest foreign intelligence agency brings the investigation closer to the Kremlin —and to Trump.”
This news by @attackerman &amp; @kpoulsen may be the cause of Trump's latest chaos.
@3L3V3NTH #Maddow https://t.co/XywNTQ7PBm","Thu Mar 22 23:35:37 +0000 2018"
