"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/789110756318982146/1534813050","Thu Oct 20 14:27:20 +0000 2016","Country over party 🇺🇲",,,,,,,,,,,,,,,,"0","12494","151","945","true","789110756318982146","false","false","false","Minnesota, USA","162","American Patriot 🇺🇸","1114051827610411008","false","https://pbs.twimg.com/profile_images/1033684414415491072/VfVdqs3O_normal.jpg","","3534","https://twitter.com/goat_guy_05","user","https://x.com/goat_guy_05","goat_guy_05",,"@LItalianoVero @SusanPaRN321 @doxterdeg @realDonaldTrump It's a whole hell of a lot harder to find a Democrat who won't admit they lost the election than a Republican who will admit that Russia's meddling was meant to help Trump and hurt Hillary. (Note: No, I am not blaming the loss on Russia)","Thu Mar 15 23:33:57 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/25686547/1489793477","Sat Mar 21 15:36:16 +0000 2009","Husband / father / grandfather / chemistry professor / loafer / conservative political observer. The Constitution, not politicians, protects us from tyranny.",,,,,,,,,,,,,,,,"0","26455","12862","13900","true","25686547","false","false","false","Arizona","387","Jim G","1718897696042545399","false","https://pbs.twimg.com/profile_images/842881481827475456/CeC3uj2L_normal.jpg","","70155","https://twitter.com/AxialEquatorial","user","https://x.com/AxialEquatorial","AxialEquatorial",,"@kwilli1046 Yup, this #Mueller investigation is a joke. He is a holdover from the #DeepState,who were engaged in real crimes. Make note that as Mueller fishes for signs of impropriety, the #FBI and #DOJ that put him in place are clearly guilty of far worse crimes against the #American people","Thu Mar 15 23:59:02 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/50321602/1725648024","Wed Jun 24 14:38:05 +0000 2009","""We are not here to curse the darkness, but to light a candle that can guide us...""",,,,,,,,,,,,,,,,"0","12986","4627","4505","true","50321602","false","false","false","Shining City Upon a HIll","4812","Healthcare Advocate",,"false","https://pbs.twimg.com/profile_images/1345181458105729025/yLL5i4h-_normal.jpg","","68682","https://twitter.com/ClaudiaNichols","user","https://x.com/ClaudiaNichols","ClaudiaNichols",,"@Pew: Public Confidence in Mueller’s Investigation Remains Steady https://t.co/v5usvrIbAW","Thu Mar 15 23:57:49 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/921426415463157760/1508521490","Fri Oct 20 17:22:31 +0000 2017","I like to Have Fun & have no negative people in my Circle !!",,,,,,,,,,,,,,,,"0","442","1","8","false","921426415463157760","false","false","false","","34","Randy",,"false","https://pbs.twimg.com/profile_images/948992261060288513/OFZFThpO_normal.jpg","","1043","https://twitter.com/Clarenc45452179","user","https://x.com/Clarenc45452179","Clarenc45452179",,"@UnfollowTrump Last Week Donald Trump was tweeting about how the Republicans ended their investigation but no tweets today about Mueller stepping up his investigation by Subpoening The Trump organization business Records! Republicans lie for You but that doesn't stop Meuller investigation !!","Thu Mar 15 23:57:16 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Sat Feb 06 22:49:15 +0000 2016","",,,,,,,,,,,,,,,,"0","11289","100","172","true","4883255627","false","false","false","","1","momone",,"false","https://pbs.twimg.com/profile_images/826968153422983171/smmTk01q_normal.jpg","","17954","https://twitter.com/BibitefFaustin","user","https://x.com/BibitefFaustin","BibitefFaustin",,"@nypost You gave up already you have to resist wait a few months until Mueller conclude his investigation please reconsider trump is not going to win","Thu Mar 15 23:56:07 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/4341051553/1657199133","Tue Nov 24 04:04:58 +0000 2015","Austin was tooo blue for me,so I moved to Texas Hill Country. I FOLLOW BACK PATRIOTS! Patriot and deplorable MAGA! Save Our Country! Vote Trump/Vance!",,,,,,,,,,,,,,,,"0","54095","6503","5778","true","4341051553","false","false","false","Fredericksburg, TX","6190","Ex-Austinite",,"false","https://pbs.twimg.com/profile_images/1574110427390386177/P8j1_hTL_normal.jpg","","102404","https://twitter.com/AustinView01","user","https://x.com/AustinView01","AustinView01",,"@seanhannity Give it up, Nick. This is not about Sean Hannity it's about this worthless Mueller investigation. Six months and $10 million later we will find out that Trump forgot to return a library book in 1968","Thu Mar 15 23:54:55 +0000 2018"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/824791178453381120/1486248635","Fri Jan 27 01:28:35 +0000 2017","Riggs, I'm gettin' too old for this sh*t!
•
•
•
 Educator. History Nerd. Vocals & Guitar. Total Hippy.",,,,,,,,,,,,,,,,"0","34197","3169","3312","true","824791178453381120","false","false","false","United States","767","Haley Halie Hale","1767995596974002434","false","https://pbs.twimg.com/profile_images/1136830700894785536/X1DSfM6L_normal.jpg","","14303","https://twitter.com/HaleyAdEva","user","https://x.com/HaleyAdEva","HaleyAdEva",,"If something doesn't come of the Mueller investigation, I may cry an Olympic swimming pool full of liberal tears. Cmon, Bob. Make with the results already, man. ☮️ https://t.co/ErvDskBKDf","Thu Mar 15 23:52:22 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Thu Oct 06 17:07:16 +0000 2011","where policy, politics, and common sense intersect, with a dash of Philly atty-tood. I used to blog.",,,,,,,,,,,"keystonetake.blogspot.com","http://keystonetake.blogspot.com","0","23","https://t.co/jyoIFXofZ9","0","96","597","1081","false","386090092","false","false","false","Philadelphia, PA","504","The Keystone Take","1796362273143005528","false","https://pbs.twimg.com/profile_images/2326355394/7qucbkfgsdsn539v033f_normal.jpeg","","104653","https://twitter.com/KeystoneTake","user","https://x.com/KeystoneTake","KeystoneTake",,"@Amy_Siskind @Larramarr1980 Maybe a way to hide assets in her name, depending on where Mueller investigation goes. That was my first snarky thought any way.","Thu Mar 15 23:50:29 +0000 2018"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/952051558711218176/1521176341","Sat Jan 13 05:35:54 +0000 2018","Mom,Grandma, Spiritual, Angry Concerned Citizen, Lover of All Humanity, Animals, our Planet,  
Jason Mraz, Eagles, Beatles
#TheResistance
#FBR #BLM",,,,,,,,,,,,,,,,"0","4514","232","396","false","952051558711218176","false","false","false","The Heart Of Texas","13","Suki",,"false","https://pbs.twimg.com/profile_images/964835833751711744/xX5kzxTR_normal.jpg","","1589","https://twitter.com/1stSuki","user","https://x.com/1stSuki","1stSuki",,"@realDonaldTrump,
I'm wondering if Bob Mueller could've  saved us a bunch of $ by subpoenaing you at beginning of his investigation?  We all know you would lie &amp; Clinton was impeached for lying under oath about his affair. But we want to be SURE u're out when it happens.  WINK https://t.co/P8ajfHwFvF","Thu Mar 15 23:49:38 +0000 2018"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/798917467330514944/1535093374","Wed Nov 16 15:55:42 +0000 2016","Monitored by every Intel agency on planet earth... Most of all monitored by Jesus Christ the God man who loves us all.",,,,,,,,,,,,,,,,"0","22466","567","2105","false","798917467330514944","false","false","false","South East Asia - The world","1684","Ibrahim",,"false","https://pbs.twimg.com/profile_images/1245054830487441408/8N-BMfY7_normal.jpg","","31132","https://twitter.com/ibrahim_201777","user","https://x.com/ibrahim_201777","ibrahim_201777",,"@1776Stonewall Mueller is an investigation seeking a crime. This is a political disgrace. Investigate Mueller.","Thu Mar 15 23:49:26 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Sat Feb 11 15:18:36 +0000 2017","Dive, dive, dive.  And do a little pickin' and grinnin' on the side.",,,,,,,,,,,,,,,,"0","11440","81","226","false","830435876513673216","false","false","false","Florida, USA","51","Bartholomew Roberts",,"false","https://pbs.twimg.com/profile_images/830495097791795200/A0g3d64B_normal.jpg","","6242","https://twitter.com/DroftheDeep","user","https://x.com/DroftheDeep","DroftheDeep",,"@SebGorka @peterschweizer Expect the Fake Mueller Investigation to keep this Typical Democratic Party Corruption out of the news...","Thu Mar 15 23:48:27 +0000 2018"
