author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,place,avatar,Pi,Ei,Ni,PZ,DG,NCI,info
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"This can be the Golden Age of America, just give Donald J. Trump a chance! https://t.co/7qHXXHZsrv",2024/11/30 18:29,254275,10457126,33884,29876,2606,7881,https://pbs.twimg.com/ext_tw_video_thumb/1862926723823652864/pu/img/0WxThyeSxUQr42VC.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,84,4,46,32,32,89,89
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"Donald Trump is your president, whether you like it or not! https://t.co/nPfLGL1f5P",2024/11/30 1:59,254045,10440009,33849,29850,2606,7880,https://pbs.twimg.com/media/GdmPpqaXMAE7Iiw.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,100,2,74,53,54,56,100
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,President Trump has already accomplished more than Joe Biden and he��s not even in the White House yet.,2024/11/30 1:29,253071,10423077,33706,29731,2601,7874,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,5,0,4,27,22,16,3
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"Rumor has it, President Trump went under par today! https://t.co/2GkczlZITF",2024/11/30 1:06,252279,10404098,33610,29682,2599,7871,https://pbs.twimg.com/media/GdmDj08W0AAC4xo.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,0,85,92,53,81,20,21
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"President Trump has a special bond with his granddaughter Kai.

This is the side of President Trump the media doesn't want you to know about! https://t.co/Stgh6GAHYL",2024/11/29 21:00,251647,10371123,33579,29620,2591,7865,https://pbs.twimg.com/ext_tw_video_thumb/1862602453914374145/pu/img/CqYBHAgSH9nY_Tge.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,98,36,34,67,93,3,95
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"I hope Hillary Clinton runs for President in 2028.

That would be the easiest win for the GOP since Trump beat Kamala!",2024/11/29 18:11,250260,10345094,33359,29593,2586,7846,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,9,76,65,39,51,41,38
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,Black Friday was better under President Donald J. Trump.,2024/11/29 17:56,250055,10333006,33336,29572,2585,7844,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,27,13,88,71,20,62,85
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,Black Friday deals were MUCH better under President Trump! https://t.co/Auh4jDsWCT,2024/11/29 12:00,249896,10321918,33325,29549,2585,7843,https://pbs.twimg.com/media/GdjPeN6XoAAkY9r.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,89,48,12,88,59,25,46
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"Yesterday, I was at the Barnes &amp; Noble.

I asked the clerk if they had Donald Trump's new book on how to deport illegal immigrants.

She immediately said to me:

""Get the f**k out of here and don't come back.""

I said, ""Yes, that's the one!! Do you have it in paperback?""",2024/11/28 18:24,249809,10313294,33311,29526,2585,7843,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,78,25,35,2,52,55,24
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,President Trump ate and left no crumbs with his Thanksgiving message this year!,2024/11/28 18:03,247641,10243416,33000,29365,2561,7778,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,74,67,28,94,19,33,9
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,Pro Tip: talk about how thankful you are for President Trump during your Thanksgiving dinner with family tonight.,2024/11/28 17:38,247517,10224255,32982,29357,2561,7776,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,28,46,94,40,11,13,53
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"What are you most thankful for this year?

For me it��s President Trump.",2024/11/28 16:45,247297,10207072,32960,29327,2560,7775,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,82,3,75,77,20,24,60
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,"President Trump will make Thanksgiving affordable again next year.

This is a guarantee.",2024/11/28 16:37,246799,10191081,32918,29235,2556,7773,,,https://pbs.twimg.com/profile_banners/91583544/1591900473,26,57,23,42,45,37,65
0,91026,592065,15387,Nick Adams,91583544,48674,NickAdamsinUSA,What are you thankful for today? I'm thankful for PRESIDENT TRUMP'S WIN! https://t.co/1XtR0jrMft,2024/11/28 12:00,246402,10178394,32878,29202,2554,7768,https://pbs.twimg.com/media/GdeF4e-W4AACu1E.jpg,,https://pbs.twimg.com/profile_banners/91583544/1591900473,12,77,74,75,38,77,56
