author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,avatar,init_att
0,229,41,71,J,1853845127057608705,640,Henry777747J,@mitchellvii America has a lot of fools within its borders but without Democrats cheating left and right Trump won in a landslide,2024/11/30 23:46:50,0,11.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1853845127057608705/1731007261,0.1428571428571428
0,17772,236,950,bigz,1580572645615366144,22334,temporaryuser27,"@mitchellvii @WillieDMack1 @catturd2 Bro i have been following you for years. When destantis was running, you were 100% for Ron, not trump. Are you saying that's not true?",2024/11/30 22:30:06,0,8.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1580572645615366144/1710251625,0.0875
0,63538,4658,5044,Rick Danna,3751973549,97184,rickdanna4719,@mitchellvii @ToscaAusten Zuckerberg is not a friend of Trump. Keep him far away from D C,2024/11/30 21:18:43,0,7.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/3751973549/1637970779,0.1
0,6046,310,186,MAGAMike2024,1648045010728767502,13464,Irish1638644786,"@mitchellvii Bill, these people on the J6 committee MUST face justice. It's one of the few things we can't look past once Trump and his team are in place. https://t.co/wamV7yTlrI",2024/11/30 19:46:16,0,4.0,0,0,0,0,https://pbs.twimg.com/media/GdqDwOQXkAA2Ivx.jpg,https://pbs.twimg.com/profile_banners/1648045010728767502/1722111479,0.225
0,223711,474,176,PressHard,704123101450121216,34436,PressHardx3,"@mitchellvii If McDaniel had not be replaced at RNC, she would have made sure Trump was defeated",2024/11/30 19:32:18,0,8.0,0,0,0,0,,,0.5
0,24539,697,3445,Notbillions,3164137506,18162,notbillions,"@mitchellvii @socalchik11 @catturd2 Dude, you spent nearly 8 full years undercutting everything Trump did because of your ego.",2024/11/30 18:16:42,1,,0,1,0,0,,https://pbs.twimg.com/profile_banners/3164137506/1435989398,0.1249999999999999
0,3468,2237,2726,jon_gault,1795483394979033088,10955,jongault_523581,@mitchellvii I am very excited which continues to be fueled by the rapidity at which Trump is putting his administration together.  I am encouraged by the response of the rest of the world to his pending presidency.  The world is already falling into line.,2024/11/30 18:14:14,1,8.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1795483394979033088/1729005637,0.4875
0,505355,113097,75342,Cat Ladies for Trump,825160248088367104,163894,PragmaticMaemae,"@mitchellvii I found a community note I saved. 

I remember another profile posted and got community not as the poster was declared himsel/herself the judge to end any further discussion. 
That was a red flag for me. 
I pointed put the fact that the 1st source in the community note was help https://t.co/NAnFsyTHVZ",2024/11/30 17:51:05,0,40.0,0,0,0,0,https://pbs.twimg.com/media/GdppZDeWYAEctWN.jpg,https://pbs.twimg.com/profile_banners/825160248088367104/1726241796,0.0
0,7891,786,969,🇬🇧 Keith Hardy 🇺🇸,1462865985287778307,7533,KeithHa60036949,"@mitchellvii @cb_doge There's still a lot of shadow banning on here, regardless if Elon says there isn't. Maybe he needs to check into it before going DOGE for Trump.",2024/11/30 17:33:07,2,23.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1462865985287778307/1733272193,0.0
0,2344,145,315,Francis Kostick,215670840,4742,tiger3557,"@mitchellvii @FarmGirlCarrie People have short memories I don’t   after you stabbed Trump in the back , you come back here acting like a conservative instead of self serving fool.",2024/11/30 17:17:46,0,4.0,0,0,0,0,,,0.0
0,16590,3845,5858,MIDWESTERN MAGA PATRIOT,1790081254278213633,17439,Pisces02271966,@mitchellvii I’m making plans to go with some family. I suspect the enery and the atmosphere will be electric. Probably more so than a Trump rally.,2024/11/30 17:15:35,2,54.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1790081254278213633/1720914190,0.5
0,4971,1205,849,Cat Ladies For Trump,1820068931698356224,2526,CLadiesForTrump,"@mitchellvii When these big monetized accounts get called out for their dishonesty they retaliate and weaponize their followers against the person exposing them. They call you jealous. 

Sad thing is most will take the side of the big account blindly and gang up on the little account.",2024/11/30 16:58:47,0,14.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1820068931698356224/1723991650,0.1145833333333333
0,4971,1205,849,Cat Ladies For Trump,1820068931698356224,2526,CLadiesForTrump,"@mitchellvii Many of those get community noted. They’re usually engagement baiting for monetary gains. 
It’s very common. Sadly, they know they’re lying because they saw where the original videos came from when they found the original video. 

They sometimes have clever headline.",2024/11/30 16:54:31,0,13.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1820068931698356224/1723991650,0.0395238095238095
0,4971,1205,849,Cat Ladies For Trump,1820068931698356224,2526,CLadiesForTrump,@mitchellvii Definitely. 💯,2024/11/30 16:39:37,0,5.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1820068931698356224/1723991650,0.0
0,94698,1463,1823,Shark313,4836437779,13026,sharkchamp1,"@mitchellvii @Pismo_B I was thinking exactly that. President Trump is so cunning we will probably never know what his motivation is, but I’m sure he has a plan",2024/11/30 15:15:08,1,16.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/4836437779/1723577159,0.25
0,535368,32568,20761,Jess The Fiery Chicana 😎❤️🔥✊🏾🇺🇸❤️🔥🌹🔥❤️🔥,1334600780905467904,360727,Jess3CAgrl4Life,"@mitchellvii @jjauthor That’s a fact,even Native Born Hispanics that are from the U.S. couldnt vote for the other side because of illegal immigration,it’s why we voted for Trump 🇺🇸",2024/11/30 15:07:42,1,17.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1334600780905467904/1727757047,0.3125
0,23353,577,453,Katlue2,1473117808921755654,14207,Katlue21,"@mitchellvii Yes, a winning Trump strategy. He just did it with Trudeau too.",2024/11/30 15:07:00,0,23.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1473117808921755654/1716518755,0.5
0,8254,1037,2481,Brian Vallotton,1841312050557140992,4256,Brivallotton,@mitchellvii said something the other day that has stuck with me. I have been concerned about how our Senate and House are really not MAGA. He pointed out that we don't need new laws. President Trump can just enforce what is already on the books. That is a powerful point.,2024/11/30 14:41:15,0,15.0,0,0,0,0,,,0.052840909090909
0,8766,10416,5845,Michael Anthony Lee,1828466707846885386,15717,ProudCanadaDad,"@mitchellvii The Hispanic community went hard for Trump.

That’s should tell the race bating Democrats something..",2024/11/30 14:35:41,0,11.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1828466707846885386/1731521829,0.2916666666666667
