"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/2828951115/1415215319","Tue Oct 14 04:31:42 +0000 2014","Retired Professor.  To access AMERICAN GRAFITTI, use MEDIA. 

[Author of MACROFOUNDATIONS and PASSOVER PAPERS.]",,,,,,,,,,,"amazon.com/Macrofoundatio…","http://www.amazon.com/Macrofoundations-Political-Economy-Development-Conditions/dp/140397621X%3FSubs","0","23","https://t.co/YMetDgbDl9","0","10623","1287","2497","false","2828951115","false","false","false","South Miami/Pinecrest FL","23038","David Goalstone","1234538266403143680","false","https://pbs.twimg.com/profile_images/528739609229160448/aTdvRwuc_normal.jpeg","","39509","https://twitter.com/ghostwriterREAL","user","https://x.com/ghostwriterREAL","ghostwriterREAL","FEAR: ROGUE FBI AGENTS MEDDLING IN ELECTION
@ariannahuff @sethmeyers @MSNBC https://t.co/zMI3ay2yLE","Sat Nov 05 18:41:02 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/2308865377/1480287296","Fri Jan 24 19:34:46 +0000 2014","Animal activist🇨🇭 in FL,❤️my cat #Prochoice 
#SaveACA #BLM  #ALM #SaveUSPS
#Trumpisacriminal #SenateconvictTrump
#Biden/Harris2020",,,,,,,,,,,,,,,,"0","57186","1250","1371","true","2308865377","false","false","false","Florida, USA","2177","Misha Meier 🌊🌊🌊😷🐾🐾🐾","1186388027356176384","false","https://pbs.twimg.com/profile_images/764159860082610176/YlO3OCMn_normal.jpg","","90617","https://twitter.com/mishachfl","user","https://x.com/mishachfl","mishachfl","Imaginehow Mio of seniors might react to his presidency. Trump is more dangerous than Putin is for meddling in our election. Stop him VOTE! https://t.co/EM5izORCDX","Sat Nov 05 18:25:51 +0000 2016"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1077570072/1689170647","Thu Jan 10 20:15:07 +0000 2013","Legal news from @vLex.  Industry-focused with free articles & filings.  Covering tech and agriculture news and litigation.  Sign up- https://t.co/DTuZH93Hz1","bit.ly/2Wa9vAX","http://bit.ly/2Wa9vAX","133","156","https://t.co/DTuZH93Hz1",,,,,,"lawstreetmedia.com","http://lawstreetmedia.com","0","23","https://t.co/Lr4hu3kWAi","0","4418","2580","1762","true","1077570072","false","false","false","Washington, DC","9260","Law Street",,"false","https://pbs.twimg.com/profile_images/1679129512259231747/76EgPIeL_normal.jpg","","19412","https://twitter.com/LawStreetMedia","user","https://x.com/LawStreetMedia","LawStreetMedia","A Rigged #Election, A Rigged Search Engine, and Rigged #Wikipedia. Meddling kids! https://t.co/rBbe3LMBtr https://t.co/tjABqvu1rF","Sat Nov 05 17:57:43 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/517917379/1430396537","Wed Mar 07 20:36:05 +0000 2012","The oppressed are allowed once every few years to decide which particular representatives of the oppressing class are to represent and repress them. ―Karl Marx",,,,,,,,,,,,,,,,"0","9903","208","274","true","517917379","false","false","false","","186","Javed",,"false","https://pbs.twimg.com/profile_images/1162334615790596096/CD6Quf7J_normal.jpg","","12389","https://twitter.com/SisaktiUmeed","user","https://x.com/SisaktiUmeed","SisaktiUmeed","@Syricide Mr.#Putin why are you meddling in the election n referendum of Banana Republics, please pick on someone your size in South America","Sat Nov 05 17:18:26 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/117767974/1716732310","Fri Feb 26 15:06:15 +0000 2010","Deputy Director @ITCTOfficial. DG Ops & Head Consultant @midstonecentre. Podcast: @FJTalksPodcast. 

RTs not endorsements, All opinions personal.",,,,,,,,,,,"itct.org.uk/about/our-team/","https://www.itct.org.uk/about/our-team/","0","23","https://t.co/N8Q8TbxsVE","0","270415","99613","7781","true","117767974","true","false","false","🌍","68974","FJ","1854130504225665211","false","https://pbs.twimg.com/profile_images/1763892869104865280/YRtxergO_normal.jpg","","472418","https://twitter.com/Natsecjeff","user","https://x.com/Natsecjeff","Natsecjeff","While Russian intelligence is meddling in U.S. election, Ron Paul Institute is posting this: https://t.co/PLmoPv2zrq","Sat Nov 05 17:05:23 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/3282973915/1672816283","Sat Jul 18 02:47:17 +0000 2015","Reposts ≠ endorsements. Offering an umpire's perspective on politics, prioritizing more, not less information. Also, SPORTS & opinions – from left to right.",,,,,,,,,,,"MedianPolitics.com","http://MedianPolitics.com","0","23","https://t.co/U8ErpHLfr7","0","1460","30713","4918","true","3282973915","true","false","false","Beverly Hills, CA","20663","Median Politics","1854053345649914091","false","https://pbs.twimg.com/profile_images/1589464979089936384/E6a6TK3n_normal.jpg","","257834","https://twitter.com/MedianPolitics","user","https://x.com/MedianPolitics","MedianPolitics","@joshbhaskell @ChrisMegerian Clinton Emails Reveal Foreign Meddling in Last Haitian Presidential Election 
https://t.co/yae0XqS7fE","Sat Nov 05 17:05:05 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/762504144976347136/1470642057","Mon Aug 08 04:22:09 +0000 2016","San Chad - scientist, philosopher, poet. Author of 24 books, one opening 12 patents and 100 scientific publ. Doctor science, доктор наук",,,,,,,,,,,,,,,,"0","486","575","3166","true","762504144976347136","false","false","false","Ukraine * Кривой Рог","196","Dr sci. Chernykh A.D.,                 San Chad","762513359640023040","false","https://pbs.twimg.com/profile_images/762508490958966784/drXbpELQ_normal.jpg","","841","https://twitter.com/sanchad49","user","https://x.com/sanchad49","sanchad49","Putin mocks Clinton claim of Russia election meddling: ‘Is U.S. a banana... https://t.co/PuO0KUPcki by #DavisSimplex via @c0nvey","Sat Nov 05 16:59:18 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/753772841397522432/1722136857","Fri Jul 15 02:07:04 +0000 2016","""We cannot change the direction of the wind, but we can adjust our sails to reach our destination"". Mind your own damn business!",,,,,,,,,,,,,,,,"0","47073","1408","2519","true","753772841397522432","false","false","false","Somewhere on a sailboat.","2233","K.D. Slang Vote Blue🟧🇺🇸🏳️‍🌈🇺🇦🦋","1440896764375146496","false","https://pbs.twimg.com/profile_images/1762929975508754432/9cK99W94_normal.jpg","","30915","https://twitter.com/ktkonyc","user","https://x.com/ktkonyc","ktkonyc","The FBI has been caught meddling in the election. Sign the petition, tell FBI Director Comey to resign: https://t.co/RjYkIDE5W5 #ResignComey","Sat Nov 05 16:54:11 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/783108602475184128/1475616048","Tue Oct 04 00:56:55 +0000 2016","The world is my country, all mankind are my brethren, and to do good is my religion - Thomas Paine

Anti-Fascist, Atheist.

I identify as a social construct.",,,,,,,,,,,,,,,,"0","12318","417","570","true","783108602475184128","false","false","false","Raleigh, NC","1903","Jᴇᴏsʜᴜᴀ","1336702364737286145","false","https://pbs.twimg.com/profile_images/1327022417219346433/bLgtv77V_normal.jpg","","31515","https://twitter.com/JeoshuaCollins","user","https://x.com/JeoshuaCollins","JeoshuaCollins","The FBI has been caught meddling in the election. Sign the petition, tell FBI Director Comey to resign: https://t.co/iIRmrobOJ5 #ResignComey","Sat Nov 05 16:45:34 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/761000644324888576/1571951549","Thu Aug 04 00:47:47 +0000 2016","Good god, the lies!
@otisfife.bsky.social",,,,,,,,,,,,,,,,"0","196554","2183","2804","true","761000644324888576","false","false","false","Trumpmergency, USA","211","Otis ""Oats"" Fife","1126137727064379392","false","https://pbs.twimg.com/profile_images/767504468157968384/3yDv3DB7_normal.jpg","","191034","https://twitter.com/itisfofe","user","https://x.com/itisfofe","itisfofe","It's hard to choose the scariest thing about this election, but meddling by the FBI might win the prize.","Sat Nov 05 16:36:26 +0000 2016"
