"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true",,"Wed Nov 04 03:02:29 +0000 2015","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","118948","360","525","true","4108983501","false","false","false","","4788","M Susan",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","84982","https://twitter.com/MSmeowsie","user","https://x.com/MSmeowsie","MSmeowsie",,"He became a Russian citizen in 2016?!? He defended Putin's election meddling?!? WTAF. DECADES of US Fan glory from his movies. #youBUM 👎 Actor Steven Seagal appointed Russian ministry's 'special representative'

https://t.co/CDo4M5aiCa","Sat Aug 04 22:50:24 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/1019273767225212928/1536190490","Tue Jul 17 17:32:58 +0000 2018","#VoteRed",,,,,,,,,,,,,,,,,,,,,,,,,,"0","9137","2106","633","false","1019273767225212928","false","false","false","","1446","Rose","1056243803722579968","false","https://pbs.twimg.com/profile_images/1055999358209060864/toxoz_04_normal.jpg","","10827","https://twitter.com/StopMediaHate","user","https://x.com/StopMediaHate","StopMediaHate",,"Tell me how the QFD ban is any different than so-called ""Russian meddling?""
The only difference is, this is real and it's worse.
This is election rigging in its most shameless and cowardly form - thru silencing.
Read this thread and start fighting back, ffs","Sat Aug 04 22:48:20 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/1019273767225212928/1536190490","Tue Jul 17 17:32:58 +0000 2018","#VoteRed",,,,,,,,,,,,,,,,,,,,,,,,,,"0","9137","2106","633","false","1019273767225212928","false","false","false","","1446","Rose","1056243803722579968","false","https://pbs.twimg.com/profile_images/1055999358209060864/toxoz_04_normal.jpg","","10827","https://twitter.com/StopMediaHate","user","https://x.com/StopMediaHate","StopMediaHate",,"@RiflemanPartTwo @DanCovfefe1 @TomFitton @Twitter @realDonaldTrump what they're doing, is worse than anything a Russian could do. This is rigging, this is meddling, this is election interference.","Sat Aug 04 22:43:33 +0000 2018"
"false","true",,"Sat Apr 08 14:09:09 +0000 2017","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","51793","1132","4689","false","850712117573537793","false","false","false","","44406","Cheryl Amber Dotson",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","336609","https://twitter.com/GODZILLASLAYS65","user","https://x.com/GODZILLASLAYS65","GODZILLASLAYS65",,"Putin Compares Yevgeny Prigozhin, Accused of U.S. Election Meddling, to George Soros https://t.co/ExX8idkG6d","Sat Aug 04 22:40:29 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/834297172170465280/1641746842","Wed Feb 22 07:02:01 +0000 2017","Married gay male!Trump=Treason!GOP’s a Cult! NRA kills kids, ruins families! Dem Gen-Xer!🚫list,🚫Porn,🚫Trump! He Ruined🇺🇸!Protect 🇺🇦,🖕Putin! #ADHD",,,,,,,,,,,,,,,,,,,,,,,,,,"0","13798","1489","1616","true","834297172170465280","false","false","false","Austin, TX - Killeen sometimes","1639","Texas Bear","947869743087865857","false","https://pbs.twimg.com/profile_images/1480225181616545799/Q9LN3DtO_normal.jpg","","23320","https://twitter.com/2Texasbears","user","https://x.com/2Texasbears","2Texasbears",,"@BlogChurchWork @skyred1970 @hollymwchris @WinansMeg @ConnieMessina That’s what’s insane about this! He has always been a Con Artist &amp; serial sexual assaulter! Went to 🇷🇺 in 2013,spent the night. Knew they where involved in meddling in the election. This has been planned longer than most think! Asked 🇷🇺 to hack HRC on TV! They did! Guilty!","Sat Aug 04 22:38:36 +0000 2018"
"false","true",,"Sat Nov 11 23:39:19 +0000 2017","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","674","5","36","false","929493774983684096","false","false","false","","1","@brucesampson13",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","444","https://twitter.com/vonnegut314","user","https://x.com/vonnegut314","vonnegut314",,"@Kevin17146844 @KarlTowns @Rachel__Nichols Tell us about the time tRump brought sides together.  Tell me when he went high instead of going low.  He wants peace with Russia while he defends their meddling in our election.  He wants war with American Democrats","Sat Aug 04 22:35:20 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/1019273767225212928/1536190490","Tue Jul 17 17:32:58 +0000 2018","#VoteRed",,,,,,,,,,,,,,,,,,,,,,,,,,"0","9137","2106","633","false","1019273767225212928","false","false","false","","1446","Rose","1056243803722579968","false","https://pbs.twimg.com/profile_images/1055999358209060864/toxoz_04_normal.jpg","","10827","https://twitter.com/StopMediaHate","user","https://x.com/StopMediaHate","StopMediaHate",,"@djcip @PaulConservativ he's worse than any russian. He's meddling in our election and working to rig it. make no mistake about it","Sat Aug 04 22:34:17 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/202864920/1494726064","Fri Oct 15 00:24:48 +0000 2010","Zen-oriented laid-back guy. Unabashed capitalist. Former flying student. Middle East watcher. Disciple of Snake Plissken. Miami Beach. Namaste.",,,,,,,,,,,,,,,,,,,,,,,,,,"0","36577","887","162","true","202864920","false","false","false","Washington DC","181","The Prisoner",,"false","https://pbs.twimg.com/profile_images/667490883189755904/qaXulR1E_normal.jpg","","34727","https://twitter.com/6number6","user","https://x.com/6number6","6number6",,"#Mueller #Manafort trial shows that Mueller investigation has become a circus with no relationship at all to Russian meddling in the 2016 election.","Sat Aug 04 22:30:08 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/1398747840/1404257479","Fri May 03 03:46:03 +0000 2013","#Hope USA defend #Democracy🇺🇸⚕#USConstitution ""by any(#GoodOverEvil=#VoteBlue)means necessary""~#MalcolmX #HumanTrafficking awareness I victim #Stalked25Years",,,,,,,,,,,,,,,,,,,,,"youtube.com/watch?v=_LUdPa…","https://www.youtube.com/watch?v=_LUdPaFRB60&list=RD_LUdPaFRB60#t=7","0","23","https://t.co/wZcwhpmn28","0","4396","596","445","true","1398747840","false","false","false","#StGeorge~#StatenIsland~#NYC","5400","Mx. Joe-Anthony Sierra #GetVaccinated","1846242014389514304","false","https://pbs.twimg.com/profile_images/1441154122325970950/aJKX3HKB_normal.jpg","","109696","https://twitter.com/Joeanthony_nyc","user","https://x.com/Joeanthony_nyc","Joeanthony_nyc",,"#Hope #USA #MidtermsBeforeSCOTUS #MitchMcConnellRule moreover wadr #SCOTUSAfterSpecialCounselRussiaProbe #JustAndFair #WhiteHouse #NationalSecurity announces #Russia still #Election #Midterms2018 meddling &amp; #POTUS minimizes the national threat. https://t.co/h0pqUTYdGy","Sat Aug 04 22:19:20 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/761259480164274176/1708632540","Thu Aug 04 17:56:18 +0000 2016","#MAGA being used. Steve Bannon: “This will be the LAST ELECTION EVER” & “Trump will NEVER need another VOTER AGAIN” https://t.co/kAstwk6756","youtube.com/watch?v=OxNoUn…","https://www.youtube.com/watch?v=OxNoUnxN_cs","116","139","https://t.co/kAstwk6756",,,,,,,,,,,,,,,,,,,,,"0","127233","6185","5856","true","761259480164274176","false","false","false","NewRussia","8432","dani graham","1223203819452076033","false","https://pbs.twimg.com/profile_images/1760758539742576640/Lc15KPoe_normal.jpg","","95946","https://twitter.com/DaniGramFLA","user","https://x.com/DaniGramFLA","DaniGramFLA",,"Trump keeps telling his cult it's great to get along w/ Putin...what they don't get is Trump meet with Putin 1 on 1 during investigation &amp; ongoing PROVEN interference is NOT A ""GOOD THING""...the fact congress even allowed 1 on 1 confirms for me Russia $$ to NRA; NRA $ to Congress","Sat Aug 04 23:58:17 +0000 2018"
