"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"false","false",,"Tue Mar 21 16:11:16 +0000 2017","Love the U.S. Constitution, Freedom, Liberty, Family, Grandkids, lattes, Navy veteran",,,,,,,,,,,,,,,,"0","85167","733","204","true","844219870317232128","false","false","false","Colorado, USA","58","Chuck Still",,"false","https://pbs.twimg.com/profile_images/881571573794086912/Yclhlkci_normal.jpg","","10278","https://twitter.com/ponycar06","user","https://x.com/ponycar06","ponycar06","@FoxNews @TomFitton @replouiegohmert Mueller needs to be held accountable for his disgraceful handling of this investigation. He is making this a personal attack on the President and he has no evidence to support his ongoing investigation","Sat Jun 09 23:47:38 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/861682911967313921/1494278425","Mon May 08 20:43:10 +0000 2017","WS Buzz. HOT News!",,,,,,,,,,,"wsbuzz.com","http://wsbuzz.com","0","23","https://t.co/PtWokWV9Xi","0","1","239","56","false","861682911967313921","false","false","false","Indianapolis, IN","22863","WomansBuzz",,"false","https://pbs.twimg.com/profile_images/861689235149127680/6YdEO-IE_normal.jpg","","232952","https://twitter.com/WomanSBuzz","user","https://x.com/WomanSBuzz","WomanSBuzz","Trump Lashes Out as Mueller Investigation Hits Close to Home https://t.co/jbidFz6byt","Sat Jun 09 23:46:06 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1409617458/1585981248","Tue May 07 07:33:59 +0000 2013","""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof...""   

#AlwaysPrinciple",,,,,,,,,,,,,,,,"0","40442","485","101","true","1409617458","false","false","false","","20097","Lynn","989310874568548352","false","https://pbs.twimg.com/profile_images/1246321800809787394/V_VSOZeI_normal.jpg","","182316","https://twitter.com/Lynn_Rose1","user","https://x.com/Lynn_Rose1","Lynn_Rose1","@Flyonfreedom @logicrules2 @Jim_Jordan @freedomcaucus Mueller began investigating Trump/Russia &amp; I support that investigation but a lot has been revealed since then &amp; I don't believe he's the person to head up an investigation of FBI/DOJ &amp; it would be a waste to duplicate Mueller's work so I support expansion of the team &amp; goals.","Sat Jun 09 23:45:52 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1721125279/1584163213","Mon Sep 02 03:55:29 +0000 2013","I love to travel. I follow computer tech companies, and sports. I like rock and blues music. I give wisdom freely. My identity wouldn't exist if I did not exist",,,,,,,,,,,,,,,,"0","8782","217","882","true","1721125279","false","false","false","Seattle, USA","4","Dept82002",,"false","https://pbs.twimg.com/profile_images/887901498679611392/ITse_z3r_normal.jpg","","3123","https://twitter.com/dept82002","user","https://x.com/dept82002","dept82002","Let me see: Is the author protecting an ""investigation"" of Mr. Mueller, or the ""investigation"" of Russian ""meddling?"" https://t.co/Vw1a9aNl6m","Sat Jun 09 23:43:20 +0000 2018"
,,,,,,"false","false",,"Mon Jan 30 19:50:56 +0000 2017","Account opened in 2017 to monitor Florida. To follow and examine government, environment, music, society.",,,,,,,,,,,,,,,,"0","1346","70","285","false","826155755564732416","false","false","false","Clearwater, FL","22","Jim - Florida Voter",,"false","https://pbs.twimg.com/profile_images/827339884490731521/GakSuW6L_normal.jpg","","7397","https://twitter.com/jlaurieflorida","user","https://x.com/jlaurieflorida","jlaurieflorida","#Republicans @GOP must all speak out to protect the #Mueller investigation https://t.co/GGfcdb3Kdz","Sat Jun 09 23:42:42 +0000 2018"
,,,,,,"false","false",,"Mon Aug 01 21:54:50 +0000 2016","Just an American , once we act as one people they lose the power .divide et impera- no more. ##IndictTrump #Resist #FuckRacism #Resistance",,,,,,,,,,,,,,,,"0","40382","8624","9455","true","760232346968883200","false","false","false","United States","21","Bob Mendez",,"false","https://pbs.twimg.com/profile_images/1071215358881734657/8dEERrGg_normal.jpg","","49429","https://twitter.com/BobMemdez","user","https://x.com/BobMemdez","BobMemdez","@scottymc75 @bodhijones It's not yet written in stone and at what cost will it come. No will give credit where credit is due. I'm open minded and not programmed to believe what is told to me. Research and investigation tell alot, ask Mueller.","Sat Jun 09 23:42:32 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/924236569577271296/1509190447","Sat Oct 28 11:29:04 +0000 2017","The early bird gets the worm; the late bird gets the bullet.  #commonsense,  #Blackleather, #liberty #Freedom #Wine & #lessstupidity",,,,,,,,,,,"goo.gl/szKzDY","https://goo.gl/szKzDY","0","23","https://t.co/0Ikqr20eGU","0","1000","9420","8527","false","924236569577271296","false","false","false","","718","Michelle","949607786060513280","false","https://pbs.twimg.com/profile_images/933552756148891648/Qx57ZIsv_normal.jpg","","404132","https://twitter.com/michellebullet1","user","https://x.com/michellebullet1","michellebullet1","Mueller’s past reveals he is unfit to lead Russian investigation https://t.co/1MIVu0xA7Z","Sat Jun 09 23:41:33 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/981555960899604480/1528166212","Wed Apr 04 15:35:52 +0000 2018","A blue dot in a sea of red. I’m the militant left. Pro Labor. US Navy retired. Step up to me? better wear a mouth guard. #RESIST #BlueWave #FBR #FBResistance 🌊",,,,,,,,,,,,,,,,"0","2551","1690","2141","true","981555960899604480","false","false","false","DFW, Texas","535","Slinging Fire","1011966642027409408","false","https://pbs.twimg.com/profile_images/1015843602726113281/NizaLPvz_normal.jpg","","4205","https://twitter.com/MikeSco71141843","user","https://x.com/MikeSco71141843","MikeSco71141843","@realDonaldTrump @g7 Holy crap, you really are Putin’s pawn. You couldn’t harm the United States more if you were Stalin himself. Seriously, you’re going to call an allied leader weak on social media? I’m just stunned. You really are piece of 💩.  Mueller’s investigation can’t go fast enough. #fbr","Sat Jun 09 23:41:21 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/52556303/1718109265","Tue Jun 30 23:17:10 +0000 2009","NO LISTS-I WILL BLOCK YOU. Independent in thought and party. Registered Texas voter. Never Trump. Dogs 🐶 are better than most people 😊.",,,,,,,,,,,,,,,,"0","81539","605","494","true","52556303","false","false","false","Dallas, TX","15454","Barbara Holton","1176100646942072832","false","https://pbs.twimg.com/profile_images/1843788595527651328/ZGo401co_normal.jpg","","59606","https://twitter.com/HoltonBarb","user","https://x.com/HoltonBarb","HoltonBarb","@jaketapper Components of Mueller investigation: 
1. Preexisting Business Deals / Money Laundering.
2. Russian Information Operations. 
3. Active Cyber Intrusions. 
4. Russian Campaign Contacts.
5. Obstruction of Justice. 
Mueller's team are professional/experts in each of these components https://t.co/CfyX3pIY7T","Sat Jun 09 23:40:46 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/49869939/1693008936","Tue Jun 23 03:23:48 +0000 2009","It’s just an opinion, you can move along.",,,,,,,,,,,,,,,,"0","21817","420","490","true","49869939","false","false","false","Melbourne, Australia","728","Jennifer Lee ☮️✌️💜",,"false","https://pbs.twimg.com/profile_images/1695228415107108864/GK-h1lYu_normal.jpg","","20565","https://twitter.com/jv241994","user","https://x.com/jv241994","jv241994","@FoxNews @replouiegohmert Manafort is in big trouble, so why should Mueller stop when he’s clearly catching the bad guys? Only guilty people try this hard to stop an investigation, you obviously fear Trump is guilty aswell.","Sat Jun 09 23:40:27 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/976473998379945985/1619663103","Wed Mar 21 15:01:58 +0000 2018","Gaming journalism at its most clickable.",,,,,,,,,,,"nerfwire.com","http://nerfwire.com","0","23","https://t.co/PgWebHES1S","0","412","238","184","true","976473998379945985","false","false","false","United States","674","Nerfwire",,"false","https://pbs.twimg.com/profile_images/1036045083777396739/4eIXrrmT_normal.jpg","","769","https://twitter.com/nerfwire","user","https://x.com/nerfwire","nerfwire","RiotPhreak Under Investigation By Robert Mueller For Placing Him In Silver https://t.co/ouvfVmHDRl https://t.co/mGjnmqrptR","Sat Jun 09 23:38:44 +0000 2018"
,,,,,,"false","false",,"Sun Jul 31 17:00:01 +0000 2011","Local activist, supported several local candidate campaigns, published numerous letters to editor. As VP R&D,  developed many medical devices over 30 yr career.",,,,,,,,,,,,,,,,"0","2606","841","2010","true","346052497","false","false","false","California, USA","29","Charles Mooney",,"false","https://pbs.twimg.com/profile_images/1248781859686764544/IMLO6JVL_normal.jpg","","3811","https://twitter.com/ChasMooney","user","https://x.com/ChasMooney","ChasMooney","@peterbakernyt Just don't lose sight of the Russian investigation due to this blow up.  He needs a distraction as Mueller gets closer and closer.","Sat Jun 09 23:35:21 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/891734941/1398728735","Fri Oct 19 20:04:47 +0000 2012","Counselor, LPCS & RPTS, Child Advocate, Infant Mental Health & Trauma Specialist. Assistant Professor @unchorizons. Past-President of @acacchild Opinions mine.",,,,,,,,,,,,,,,,"0","48434","413","800","true","891734941","false","false","false","Chapel Hill, NC USA","42","Evette Horton, PhD",,"false","https://pbs.twimg.com/profile_images/3619841550/ef1bba52040e5712033cb1c4c5928234_normal.jpeg","","8531","https://twitter.com/Evettehelpkids","user","https://x.com/Evettehelpkids","Evettehelpkids","We Republicans must all speak out to protect the Mueller investigation https://t.co/QUYEo4rVJQ","Sat Jun 09 23:34:50 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/796784197507518464/1515277700","Thu Nov 10 18:38:51 +0000 2016","Combat Vet-Backing Trump-Famous Blackjack Team Leader. a.k.a. Doug Grant.  Genius level IQ. ""Professor with pinky ring"" (Newsday). ""Brilliant"" (Phil Inquirer)",,,,,,,,,,,,,,,,"0","1170","12217","12433","true","796784197507518464","true","false","false","Washington, USA","108","Douglas Reimann",,"false","https://pbs.twimg.com/profile_images/949769084136128512/iv99J4ot_normal.jpg","","124956","https://twitter.com/dgvreiman","user","https://x.com/dgvreiman","dgvreiman","@RealJhaeson1 @JudicialWatch Jason, the stew was cooked when Mr. Mueller indicted 13 Russians for meddling in our election, and said NO AMERICANS were involved in helping the Russians.  That part of the investigation clearly over-add fact Mueller said Trump not a target, and that he would never be indicted.","Sat Jun 09 23:34:01 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1409617458/1585981248","Tue May 07 07:33:59 +0000 2013","""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof...""   

#AlwaysPrinciple",,,,,,,,,,,,,,,,"0","40442","485","101","true","1409617458","false","false","false","","20097","Lynn","989310874568548352","false","https://pbs.twimg.com/profile_images/1246321800809787394/V_VSOZeI_normal.jpg","","182316","https://twitter.com/Lynn_Rose1","user","https://x.com/Lynn_Rose1","Lynn_Rose1","@Flyonfreedom @logicrules2 @Jim_Jordan @freedomcaucus I actually would support expanding the Mueller investigation but putting someone else in charge.  Although Mueller has a solid reputation it turns out he was potentially involved and/or quite close to some of  these issues. 2/2","Sat Jun 09 23:32:04 +0000 2018"
,,,,,,"false","false",,"Thu Feb 28 01:47:45 +0000 2013","Commonsense, realistic Conservative thinking...#Politics #World Affairs #Fiscal Responsibility...Proud #TGDN",,,,,,,,,,,"facebook.com/EverymanConser…","https://www.facebook.com/EverymanConservativeVoice","0","23","https://t.co/WW6eoJC9hD","0","10609","3087","3270","true","1226446382","false","false","false","","83","EverymanConservative",,"false","https://pbs.twimg.com/profile_images/3317713660/5cc7ab17c4abdc218da2d27e75f40772_normal.jpeg","","34015","https://twitter.com/EverymanVoice","user","https://x.com/EverymanVoice","EverymanVoice","First...No one has or is impeding the Mueller investigation!

Second...Trump was elected because we are sick &amp; tired of Globalists! https://t.co/IXjgdFTohV","Sat Jun 09 23:31:44 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1413208694/1725800222","Wed May 08 16:07:37 +0000 2013","The Westmoreland County Democratic Party is located in the battleground state of PA. Chair, Michelle Milan McFall",,,,,,,,,,,"westmorelanddemocrats.com","http://westmorelanddemocrats.com","0","23","https://t.co/tahU3ivFDW","0","8088","2088","1541","true","1413208694","false","false","false","Westmoreland County,  PA","526","Westmoreland Democrats",,"false","https://pbs.twimg.com/profile_images/1715744306416283648/7Sd5LfTz_normal.jpg","","33743","https://twitter.com/WCDemocrats","user","https://x.com/WCDemocrats","WCDemocrats","Mueller's web: Everyone caught up in the Russia investigation........ https://t.co/Lt9HCmy1u4","Sat Jun 09 23:30:18 +0000 2018"
"https://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_bigger.jpg","The Washington Post","https://twitter.com/washingtonpost","DeepLink","Badge","BusinessLabel","true","true","https://pbs.twimg.com/profile_banners/14345812/1520363857","Wed Apr 09 21:29:51 +0000 2008","Editorials, columns, cartoons, guest op-eds: we have them all!

Follow us also on Facebook, Instagram, Threads and Bluesky: @PostOpinions.",,,,,,,,,,,"washingtonpost.com/opinions","http://www.washingtonpost.com/opinions","0","23","https://t.co/iu4QAUUsZ1","0","263","105005","788","true","14345812","true","false","false","🌎","5480","Washington Post Opinions",,"false","https://pbs.twimg.com/profile_images/1620832817805496331/_zLZBDFC_normal.jpg","","202284","https://twitter.com/PostOpinions","user","https://x.com/PostOpinions","PostOpinions","We Republicans must all speak out to protect the Mueller investigation https://t.co/GwAYktPZl6","Sat Jun 09 23:30:00 +0000 2018"
,,,,,,"false","true",,"Mon Sep 27 03:56:11 +0000 2010","",,,,,,,,,,,"YOUTUBE.COM/FUNNAGAN","http://YOUTUBE.COM/FUNNAGAN","0","22","http://t.co/bLovzaySP6","0","246","2711","4939","true","195610523","false","false","false","LOS ANGELES","26858","BRIAN FUNNAGAN","1808907265761816950","false","https://pbs.twimg.com/profile_images/1434474442/BRIANPIX_normal.jpg","","742840","https://twitter.com/FUNNAGAN","user","https://x.com/FUNNAGAN","FUNNAGAN","Opinion | We Republicans must all speak out to protect the Mueller investigation https://t.co/6d3x5TZnj5","Sat Jun 09 23:29:57 +0000 2018"
